X,Y,Goal,Distance,Angle
90.3,38.9,0,29.7203633894339,87.8789036033386
100.4,19.8,0,28.1460476799141,44.1363099554004
100.9,48.2,0,20.7858124690857,113.234784936827
99.0,56.5,0,26.7067407221473,128.157226587369
103.5,15.4,0,29.6211073391931,33.8510103035582
90.4,50.1,0,31.2757094244079,108.840473352188
110.3,14.2,0,27.5632001044871,20.6047040439898
101.3,63.3,0,29.8760773864308,141.25033957778
100.6,24.3,0,24.9569629562573,51.0175030328457
80.1,38.6,0,39.9245538484778,87.9904461869788
100.6,19.0,0,28.5895085652062,42.7320454640942
106.5,65.1,0,28.5001754380565,151.726476066312
90.9,56.7,0,33.5514530236769,119.850788347329
90.6,45.7,0,29.9474539819331,100.972240237812
97.3,53.5,0,26.4109825640774,120.74052735179
93.1,57.8,0,32.2560071924595,123.493006292649
85.2,43.3,0,34.9561153448148,95.4170221138566
81.6,43.8,0,38.5875627631495,95.6514948814977
81.2,22.4,0,42.6051640062563,65.6005640758249
76.6,54.7,1,45.8219379773488,108.7117378751
93.9,42.8,0,26.2497619036821,96.1232546186614
92.4,25.8,0,31.0386855391784,62.774507994264
84.3,33.9,0,36.2173991335656,80.303606458861
89.6,30.2,0,31.9405698133268,72.1323175869359
115.3,14.8,0,25.6345470020439,10.5647348237562
98.0,28.2,0,24.9647751842471,61.7925091209847
81.0,46.3,0,39.5055692276418,99.1762033403761
96.1,38.7,0,23.9353295360645,86.8865612519429
100.6,56.7,0,25.5978514723404,130.722683826755
79.5,41.0,0,40.5123437979093,91.414423211402
96.4,57.3,0,29.2617497767991,126.243311230212
102.1,13.8,0,31.7308997666313,34.3411279062093
78.2,28.6,0,43.3266661537672,74.7448812969422
87.5,25.2,0,35.7112027240753,65.5162103850889
95.5,26.0,1,28.2179021190449,60.2551187030578
102.9,17.3,0,28.4200633356085,36.9908597029628
87.3,62.6,0,39.7498427669846,124.6495721729
86.5,45.5,0,33.9484903935359,99.323591778138
91.0,46.1,0,29.6346081465573,101.87870048333
86.8,38.4,0,33.2385318568676,87.2408923413798
93.6,38.0,0,26.4756491893967,85.6676860168114
105.3,62.7,0,27.0440381600086,147.07383093495
95.9,21.7,0,30.2605353554758,52.7892854779617
80.5,23.1,0,42.963472857766,66.8364313521082
86.8,51.9,0,35.2682576830781,109.719392344723
89.5,29.4,0,32.2894719684296,70.8355654902207
90.1,47.2,0,30.7546744414569,103.539210530207
89.6,35.8,0,30.6887601574257,82.1339316271032
