Team,Event,Mins,Secs,X,Y,Angle,Distance,Goal
Boston Bolts U13,Free Kick,57.0,26.0,68.0,44.0,12.121888167298156,32.55764119219941,0
Boston Bolts U13,Free Kick,3.0,14.0,70.0,60.0,12.001090299083696,31.622776601683793,0
Boston Bolts U13,Free Kick,3.0,14.0,77.0,27.0,8.834733656524756,32.526911934581186,0
Boston Bolts U14,Free Kick,56.0,13.0,70.0,63.0,11.230930694764641,32.69556544854363,0
Boston Bolts U14,Free Kick,4.0,16.0,73.0,69.0,9.923401684325613,33.015148038438355,0
Boston Bolts U14,Free Kick,55.0,49.0,75.0,77.0,7.407984396691705,36.796738985948195,0
Boston Bolts U14,Free Kick,56.0,26.0,73.0,50.0,14.813379644424936,27.0,0
Boston Bolts U14,Free Kick,59.0,53.0,71.0,59.0,12.578102328638929,30.364452901377952,0
Boston Bolts U14,Free Kick,3.0,48.0,75.0,78.0,7.1194836666044,37.53664875824692,0
Boston Bolts U14,Free Kick,54.0,12.0,93.0,89.0,1.7934183351586077,39.6232255123179,0
Boston Bolts U14,Free Kick,54.0,12.0,73.0,43.0,13.940117973912628,27.892651361962706,0
Boston Bolts U14,Free Kick,61.0,6.0,73.0,60.0,13.019693756439143,28.792360097775937,0
Boston Bolts U14,Free Kick,60.0,29.0,71.0,35.0,10.98082972935486,32.64965543462902,0
Boston Bolts U14,Free Kick,53.0,40.0,85.0,83.0,4.590059595184111,36.24913792078372,0
Boston Bolts U15,Free Kick,53.0,59.0,78.0,41.0,15.684676836162083,23.769728648009426,0
Boston Bolts U16,Free Kick,5.0,37.0,68.0,52.0,12.464055635211869,32.0624390837628,0
Boston Bolts U19,Free Kick,54.0,55.0,69.0,69.0,9.393918010876718,36.359317925395686,0
Boston Bolts U19,Free Kick,54.0,55.0,73.0,52.0,14.723025826518187,27.073972741361768,0
Boston Bolts U19,Free Kick,4.0,8.0,75.0,50.0,15.983616816962389,25.0,0
Boston Bolts U15,Free Kick,0.0,16.0,85.0,46.0,24.837165604000102,15.524174696260024,0
Boston Bolts U15,Free Kick,0.0,16.0,75.0,43.0,14.899462293923845,25.96150997149434,0
Boston Bolts U15,Free Kick,49.0,15.0,82.0,32.0,11.336109870034493,25.45584412271571,0
Boston Bolts U15,Free Kick,3.0,50.0,81.0,68.0,11.127790660859494,26.1725046566048,0
Boston Bolts U15,Free Kick,6.0,0.0,82.0,68.0,11.149966282498875,25.45584412271571,0
Boston Bolts U15,Free Kick,1.0,48.0,79.0,30.0,10.159011375376018,29.0,0
Boston Bolts U15,Free Kick,3.0,50.0,80.0,29.0,9.688098376292947,29.0,0
Boston Bolts U16,Free Kick,51.0,30.0,79.0,53.0,18.578169647867416,21.213203435596427,0
Boston Bolts U16,Free Kick,3.0,50.0,83.0,21.0,6.141976658335548,33.61547262794322,0
Boston Bolts U16,Free Kick,55.0,55.0,76.0,39.0,13.888110878866476,26.40075756488817,0
Boston Bolts U16,Free Kick,54.0,29.0,75.0,47.0,15.78552597438893,25.179356624028344,0
Boston Bolts U16,Goal Free Kick,11.0,30.0,73.0,47.0,14.654997216850395,27.16615541441225,1
Boston Bolts U19,Free Kick,52.0,58.0,79.0,41.0,16.212732552863464,22.847319317591726,0
Oakwood,Free Kick,55.0,47.0,81.0,69.0,10.56100229542642,26.870057685088806,0
Boston Bolts U19,Goal Free Kick,56.0,29.0,81.0,37.0,14.552422790846881,23.021728866442675,1
Boston Bolts U19,Free Kick,0.0,0.0,72.0,36.0,11.530444978740064,31.304951684997057,0
Boston Bolts U19,Free Kick,57.0,6.0,72.0,54.0,13.990737342192125,28.284271247461902,0
Boston Bolts U19,Free Kick,57.0,6.0,76.0,71.0,9.461197336791228,31.89043743820395,0
Boston Bolts U19,Goal Free Kick,57.0,6.0,79.0,61.0,14.926841107832526,23.706539182259394,1
Boston Bolts U17,Free Kick,55.0,10.0,78.0,32.0,11.057327378067441,28.42534080710379,0
Toronto,Free Kick,54.0,22.0,87.0,21.0,5.272027360698204,31.78049716414141,0
Boston Bolts U17,Free Kick,52.0,46.0,78.0,33.0,11.551757875373557,27.80287754891569,0
Boston Bolts U17,Free Kick,52.0,46.0,79.0,72.0,9.110427950630609,30.4138126514911,0
Boston Bolts U17,Free Kick,0.0,12.0,73.0,41.0,13.409800719391042,28.460498941515414,0
Boston Bolts U17,Goal Free Kick,0.0,12.0,80.0,32.0,11.242798716738783,26.90724809414742,1
Boston Bolts U17,Free Kick,0.0,12.0,71.0,41.0,12.650584884965232,30.364452901377952,0
Boston Bolts U13,Free Kick,3.0,7.0,74.0,62.0,12.678834756307209,28.635642126552707,0
Boston Bolts U13,Free Kick,2.0,29.0,71.0,31.0,9.756165757984219,34.66987164671943,0
Boston Bolts U13,Free Kick,54.0,18.0,69.0,35.0,10.543634625151524,34.438350715445125,0
Boston Bolts U13,Free Kick,3.0,44.0,72.0,63.0,11.75479176038615,30.870698080866262,0
Boston Bolts U13,Free Kick,56.0,10.0,69.0,28.0,8.676274058705339,38.01315561749642,0
Boston Bolts U13,Free Kick,6.0,14.0,74.0,72.0,8.985301403556958,34.058772731852805,0
NYC,Free Kick,6.0,14.0,64.0,48.0,11.108596338275193,36.05551275463989,0
NYC,Goal Free Kick,53.0,59.0,76.0,20.0,6.60642022305744,38.41874542459709,1
Seacoast,Free Kick,54.0,18.0,84.0,74.0,7.735272591607877,28.844410203711913,0
