subEventName,positions,Goal,X,Y,Angle,Distance
Free kick shot,"[{'y': 33, 'x': 76}, {'y': 100, 'x': 100}]",0,76,33,11.242287865827029,29.410882339705484
Free kick shot,"[{'y': 29, 'x': 77}, {'y': 100, 'x': 100}]",0,77,29,9.631749057044345,31.144823004794873
Free kick shot,"[{'y': 64, 'x': 72}, {'y': 0, 'x': 0}]",0,72,64,11.433424686938807,31.304951684997057
Free kick shot,"[{'y': 49, 'x': 83}, {'y': 100, 'x': 100}]",0,83,49,23.27763435445943,17.029386365926403
Free kick shot,"[{'y': 54, 'x': 70}, {'y': 0, 'x': 0}]",0,70,54,13.101358360717072,30.265491900843113
Free kick shot,"[{'y': 60, 'x': 74}, {'y': 0, 'x': 0}]",0,74,60,13.390504078157454,27.85677655436824
Free kick shot,"[{'y': 81, 'x': 77}, {'y': 0, 'x': 0}]",0,77,81,6.1969475362617885,38.600518131237564
Free kick shot,"[{'y': 60, 'x': 72}, {'y': 0, 'x': 0}]",0,72,60,12.66491803792233,29.732137494637012
Free kick shot,"[{'y': 82, 'x': 99}, {'y': 100, 'x': 100}]",0,99,82,0.3934354945926032,32.01562118716424
Free kick shot,"[{'y': 49, 'x': 83}, {'y': 0, 'x': 0}]",0,83,49,23.27763435445943,17.029386365926403
Free kick shot,"[{'y': 7, 'x': 77}, {'y': 0, 'x': 0}]",0,77,7,3.925742124923287,48.76474136094644
Free kick shot,"[{'y': 33, 'x': 74}, {'y': 100, 'x': 100}]",0,74,33,10.902363543203032,31.064449134018133
Free kick shot,"[{'y': 44, 'x': 82}, {'y': 0, 'x': 0}]",0,82,44,20.067519497781916,18.973665961010276
Free kick shot,"[{'y': 54, 'x': 82}, {'y': 0, 'x': 0}]",0,82,54,21.016122294731286,18.439088914585774
Free kick shot,"[{'y': 53, 'x': 77}, {'y': 0, 'x': 0}]",0,77,53,17.04590792438113,23.194827009486403
Free kick shot,"[{'y': 35, 'x': 76}, {'y': 100, 'x': 100}]",0,76,35,12.12525422642967,28.30194339616981
Free kick shot,"[{'y': 68, 'x': 76}, {'y': 100, 'x': 100}]",1,76,68,10.683060952725754,30.0
Free kick shot,"[{'y': 11, 'x': 87}, {'y': 0, 'x': 0}]",0,87,11,3.1354050608312236,41.10960958218893
Free kick shot,"[{'y': 73, 'x': 75}, {'y': 100, 'x': 100}]",0,75,73,8.687284530439317,33.97057550292606
Free kick shot,"[{'y': 28, 'x': 83}, {'y': 0, 'x': 0}]",0,83,28,8.992729731613466,27.80287754891569
Free kick shot,"[{'y': 36, 'x': 76}, {'y': 0, 'x': 0}]",0,76,36,12.571481184405393,27.784887978899608
Free kick shot,"[{'y': 38, 'x': 74}, {'y': 100, 'x': 100}]",0,74,38,12.788644580258904,28.635642126552707
Free kick shot,"[{'y': 31, 'x': 77}, {'y': 0, 'x': 0}]",0,77,31,10.490084108823105,29.832867780352597
Free kick shot,"[{'y': 63, 'x': 84}, {'y': 100, 'x': 100}]",0,84,63,15.08872382894689,20.615528128088304
Free kick shot,"[{'y': 42, 'x': 79}, {'y': 0, 'x': 0}]",0,79,42,16.734539555798044,22.47220505424423
Free kick shot,"[{'y': 77, 'x': 76}, {'y': 100, 'x': 100}]",0,76,77,7.379868724673693,36.124783736376884
Free kick shot,"[{'y': 40, 'x': 75}, {'y': 100, 'x': 100}]",0,75,40,13.88983712280153,26.92582403567252
Free kick shot,"[{'y': 35, 'x': 78}, {'y': 100, 'x': 100}]",0,78,35,12.577485483003525,26.627053911388696
Free kick shot,"[{'y': 69, 'x': 72}, {'y': 100, 'x': 100}]",0,72,69,9.79627405006472,33.83784863137726
Free kick shot,"[{'y': 89, 'x': 87}, {'y': 100, 'x': 100}]",0,87,89,3.0920612651263504,41.10960958218893
Free kick shot,"[{'y': 45, 'x': 83}, {'y': 100, 'x': 100}]",0,83,45,21.6793941623434,17.72004514666935
Free kick shot,"[{'y': 59, 'x': 77}, {'y': 100, 'x': 100}]",0,77,59,15.051865531603864,24.698178070456937
Free kick shot,"[{'y': 73, 'x': 78}, {'y': 100, 'x': 100}]",0,78,73,8.714177131047329,31.827660925679098
Free kick shot,"[{'y': 72, 'x': 74}, {'y': 0, 'x': 0}]",0,74,72,8.985301403556958,34.058772731852805
Free kick shot,"[{'y': 45, 'x': 74}, {'y': 0, 'x': 0}]",0,74,45,14.874269436172833,26.476404589747453
Free kick shot,"[{'y': 53, 'x': 72}, {'y': 0, 'x': 0}]",0,72,53,14.116206502964285,28.160255680657446
Free kick shot,"[{'y': 55, 'x': 69}, {'y': 0, 'x': 0}]",0,69,55,12.579654561251353,31.400636936215164
Free kick shot,"[{'y': 41, 'x': 83}, {'y': 0, 'x': 0}]",0,83,41,18.580932509230504,19.235384061671343
Free kick shot,"[{'y': 28, 'x': 77}, {'y': 100, 'x': 100}]",0,77,28,9.225301861037641,31.827660925679098
Free kick shot,"[{'y': 30, 'x': 81}, {'y': 0, 'x': 0}]",0,81,30,10.181074266848656,27.586228448267445
Free kick shot,"[{'y': 67, 'x': 80}, {'y': 0, 'x': 0}]",0,80,67,11.635965277708603,26.248809496813376
Free kick shot,"[{'y': 83, 'x': 76}, {'y': 100, 'x': 100}]",0,76,83,5.786321962519849,40.80441152620633
Free kick shot,"[{'y': 44, 'x': 68}, {'y': 0, 'x': 0}]",0,68,44,12.121888167298156,32.55764119219941
Free kick shot,"[{'y': 30, 'x': 81}, {'y': 0, 'x': 0}]",0,81,30,10.181074266848656,27.586228448267445
Free kick shot,"[{'y': 58, 'x': 73}, {'y': 100, 'x': 100}]",0,73,58,13.60605410065404,28.160255680657446
Free kick shot,"[{'y': 27, 'x': 82}, {'y': 0, 'x': 0}]",0,82,27,8.617415059614045,29.206163733020468
Free kick shot,"[{'y': 60, 'x': 79}, {'y': 0, 'x': 0}]",0,79,60,15.49658521610416,23.259406699226016
Free kick shot,"[{'y': 46, 'x': 68}, {'y': 0, 'x': 0}]",0,68,46,12.344019762551268,32.2490309931942
Free kick shot,"[{'y': 66, 'x': 72}, {'y': 100, 'x': 100}]",0,72,66,10.778561351138404,32.2490309931942
Free kick shot,"[{'y': 68, 'x': 77}, {'y': 100, 'x': 100}]",0,77,68,10.803746206501348,29.206163733020468
Free kick shot,"[{'y': 32, 'x': 75}, {'y': 100, 'x': 100}]",0,75,32,10.671994682732274,30.805843601498726
Free kick shot,"[{'y': 44, 'x': 71}, {'y': 100, 'x': 100}]",0,71,44,13.27475011582236,29.614185789921695
Free kick shot,"[{'y': 49, 'x': 72}, {'y': 100, 'x': 100}]",1,72,49,14.277506545956358,28.0178514522438
Free kick shot,"[{'y': 28, 'x': 76}, {'y': 100, 'x': 100}]",0,76,28,9.19239583625569,32.55764119219941
Free kick shot,"[{'y': 55, 'x': 77}, {'y': 0, 'x': 0}]",0,77,55,16.553911464592645,23.53720459187964
Free kick shot,"[{'y': 61, 'x': 79}, {'y': 0, 'x': 0}]",0,79,61,14.926841107832526,23.706539182259394
Free kick shot,"[{'y': 18, 'x': 72}, {'y': 100, 'x': 100}]",0,72,18,6.280110975511851,42.5205832509386
Free kick shot,"[{'y': 50, 'x': 68}, {'y': 100, 'x': 100}]",0,68,50,12.518944388716223,32.0
Free kick shot,"[{'y': 62, 'x': 74}, {'y': 0, 'x': 0}]",0,74,62,12.678834756307209,28.635642126552707
Free kick shot,"[{'y': 44, 'x': 77}, {'y': 0, 'x': 0}]",0,77,44,16.33495170381245,23.769728648009426
Free kick shot,"[{'y': 47, 'x': 71}, {'y': 100, 'x': 100}]",0,71,47,13.673470799044683,29.154759474226502
Free kick shot,"[{'y': 83, 'x': 78}, {'y': 100, 'x': 100}]",0,78,83,5.615937295949365,39.66106403010388
Free kick shot,"[{'y': 47, 'x': 69}, {'y': 100, 'x': 100}]",0,69,47,12.813655865963002,31.144823004794873
Free kick shot,"[{'y': 54, 'x': 71}, {'y': 100, 'x': 100}]",0,71,54,13.531811955841404,29.274562336608895
Free kick shot,"[{'y': 72, 'x': 78}, {'y': 100, 'x': 100}]",0,78,72,9.117654077728819,31.11269837220809
Free kick shot,"[{'y': 62, 'x': 77}, {'y': 0, 'x': 0}]",0,77,62,13.660959159254219,25.942243542145693
Free kick shot,"[{'y': 45, 'x': 74}, {'y': 0, 'x': 0}]",0,74,45,14.874269436172833,26.476404589747453
Free kick shot,"[{'y': 29, 'x': 81}, {'y': 100, 'x': 100}]",0,81,29,9.662374431731964,28.319604517012593
Free kick shot,"[{'y': 61, 'x': 73}, {'y': 0, 'x': 0}]",0,73,61,12.700773071963116,29.154759474226502
Free kick shot,"[{'y': 61, 'x': 75}, {'y': 100, 'x': 100}]",1,75,61,13.394207390501128,27.313000567495326
Free kick shot,"[{'y': 68, 'x': 81}, {'y': 0, 'x': 0}]",0,81,68,11.127790660859494,26.1725046566048
Free kick shot,"[{'y': 74, 'x': 78}, {'y': 0, 'x': 0}]",0,78,74,8.329055578058036,32.55764119219941
Free kick shot,"[{'y': 71, 'x': 83}, {'y': 100, 'x': 100}]",0,83,71,9.360109524481002,27.018512172212592
Free kick shot,"[{'y': 21, 'x': 76}, {'y': 0, 'x': 0}]",0,76,21,6.881600317159211,37.64306044943742
Free kick shot,"[{'y': 36, 'x': 83}, {'y': 0, 'x': 0}]",0,83,36,14.29083993027136,22.02271554554524
Free kick shot,"[{'y': 21, 'x': 81}, {'y': 100, 'x': 100}]",0,81,21,6.443565078596425,34.66987164671943
Free kick shot,"[{'y': 59, 'x': 73}, {'y': 100, 'x': 100}]",0,73,59,13.322566294001076,28.460498941515414
Free kick shot,"[{'y': 34, 'x': 71}, {'y': 100, 'x': 100}]",0,71,34,10.675937735185125,33.12099032335839
Free kick shot,"[{'y': 35, 'x': 76}, {'y': 0, 'x': 0}]",0,76,35,12.12525422642967,28.30194339616981
Free kick shot,"[{'y': 15, 'x': 50}, {'y': 100, 'x': 100}]",0,50,15,5.415934368469501,61.032778078668514
Free kick shot,"[{'y': 53, 'x': 76}, {'y': 0, 'x': 0}]",0,76,53,16.368706766319516,24.186773244895647
