subEventName,positions,Goal,X,Y,Angle,Distance
Free kick shot,"[{'y': 27, 'x': 75}, {'y': 100, 'x': 100}]",0,75,27,8.791287413689513,33.97057550292606
Free kick shot,"[{'y': 56, 'x': 74}, {'y': 0, 'x': 0}]",0,74,56,14.584113552303597,26.68332812825267
Free kick shot,"[{'y': 63, 'x': 72}, {'y': 0, 'x': 0}]",0,72,63,11.75479176038615,30.870698080866262
Free kick shot,"[{'y': 48, 'x': 71}, {'y': 0, 'x': 0}]",0,71,48,13.747780596710276,29.068883707497267
Free kick shot,"[{'y': 35, 'x': 73}, {'y': 100, 'x': 100}]",0,73,35,11.433296401955689,30.886890422961002
Free kick shot,"[{'y': 60, 'x': 80}, {'y': 0, 'x': 0}]",0,80,60,15.966909668554385,22.360679774997898
Free kick shot,"[{'y': 57, 'x': 77}, {'y': 100, 'x': 100}]",0,77,57,15.873604508220874,24.041630560342615
Free kick shot,"[{'y': 44, 'x': 72}, {'y': 0, 'x': 0}]",0,72,44,13.706856257394602,28.635642126552707
Free kick shot,"[{'y': 48, 'x': 67}, {'y': 0, 'x': 0}]",0,67,48,12.105381297172285,33.06055050963308
Free kick shot,"[{'y': 65, 'x': 82}, {'y': 100, 'x': 100}]",0,82,65,13.141997924345347,23.430749027719962
Free kick shot,"[{'y': 48, 'x': 69}, {'y': 100, 'x': 100}]",0,69,48,12.874806785742951,31.064449134018133
Free kick shot,"[{'y': 32, 'x': 71}, {'y': 100, 'x': 100}]",0,71,32,10.061965462077216,34.132096331752024
Free kick shot,"[{'y': 53, 'x': 69}, {'y': 100, 'x': 100}]",0,69,53,12.79038736099321,31.144823004794873
Free kick shot,"[{'y': 27, 'x': 81}, {'y': 100, 'x': 100}]",0,81,27,8.708261737813878,29.832867780352597
Free kick shot,"[{'y': 67, 'x': 70}, {'y': 0, 'x': 0}]",0,70,67,10.104178832408339,34.48187929913333
Free kick shot,"[{'y': 69, 'x': 79}, {'y': 100, 'x': 100}]",0,79,69,10.500061204244263,28.319604517012593
Free kick shot,"[{'y': 27, 'x': 76}, {'y': 0, 'x': 0}]",0,76,27,8.820040536667562,33.24154027718932
Free kick shot,"[{'y': 38, 'x': 73}, {'y': 0, 'x': 0}]",0,73,38,12.46972930103211,29.546573405388315
Free kick shot,"[{'y': 54, 'x': 72}, {'y': 100, 'x': 100}]",0,72,54,13.990737342192125,28.284271247461902
Free kick shot,"[{'y': 66, 'x': 81}, {'y': 0, 'x': 0}]",0,81,66,12.343693875701101,24.839484696748443
Free kick shot,"[{'y': 45, 'x': 74}, {'y': 0, 'x': 0}]",0,74,45,14.874269436172833,26.476404589747453
Free kick shot,"[{'y': 78, 'x': 69}, {'y': 100, 'x': 100}]",0,69,78,7.124439601715715,41.773197148410844
Free kick shot,"[{'y': 66, 'x': 75}, {'y': 100, 'x': 100}]",0,75,66,11.360349586954241,29.68164415931166
Free kick shot,"[{'y': 61, 'x': 79}, {'y': 0, 'x': 0}]",0,79,61,14.926841107832526,23.706539182259394
Free kick shot,"[{'y': 63, 'x': 77}, {'y': 100, 'x': 100}]",0,77,63,13.17757049925473,26.419689627245813
Free kick shot,"[{'y': 44, 'x': 70}, {'y': 0, 'x': 0}]",0,70,44,12.867881309325279,30.59411708155671
Free kick shot,"[{'y': 25, 'x': 76}, {'y': 0, 'x': 0}]",0,76,25,8.117590438341573,34.655446902326915
Free kick shot,"[{'y': 39, 'x': 76}, {'y': 100, 'x': 100}]",0,76,39,13.888110878866476,26.40075756488817
Free kick shot,"[{'y': 75, 'x': 78}, {'y': 100, 'x': 100}]",0,78,75,7.962061233261944,33.301651610693426
Free kick shot,"[{'y': 51, 'x': 72}, {'y': 0, 'x': 0}]",0,72,51,14.266877028001433,28.0178514522438
Free kick shot,"[{'y': 25, 'x': 77}, {'y': 100, 'x': 100}]",0,77,25,8.101935687808044,33.97057550292606
Free kick shot,"[{'y': 44, 'x': 76}, {'y': 100, 'x': 100}]",1,76,44,15.737046539852093,24.73863375370596
Free kick shot,"[{'y': 50, 'x': 77}, {'y': 100, 'x': 100}]",0,77,50,17.353064922598577,23.0
Free kick shot,"[{'y': 39, 'x': 71}, {'y': 100, 'x': 100}]",0,71,39,12.139868216979558,31.016124838541646
Free kick shot,"[{'y': 31, 'x': 71}, {'y': 0, 'x': 0}]",0,71,31,9.756165757984219,34.66987164671943
Free kick shot,"[{'y': 71, 'x': 71}, {'y': 100, 'x': 100}]",0,71,71,9.064864891375004,35.805027579936315
Free kick shot,"[{'y': 68, 'x': 74}, {'y': 0, 'x': 0}]",0,74,68,10.414042189619714,31.622776601683793
Free kick shot,"[{'y': 13, 'x': 88}, {'y': 0, 'x': 0}]",1,88,13,3.2367435481292093,38.897300677553446
Free kick shot,"[{'y': 49, 'x': 82}, {'y': 0, 'x': 0}]",0,82,49,22.022264935968156,18.027756377319946
Free kick shot,"[{'y': 47, 'x': 80}, {'y': 100, 'x': 100}]",0,80,47,19.530738833001138,20.223748416156685
Free kick shot,"[{'y': 69, 'x': 74}, {'y': 0, 'x': 0}]",0,74,69,10.044876140222174,32.202484376209235
Free kick shot,"[{'y': 35, 'x': 77}, {'y': 0, 'x': 0}]",0,77,35,12.353696362872714,27.459060435491963
Free kick shot,"[{'y': 67, 'x': 83}, {'y': 0, 'x': 0}]",0,83,67,11.808960392380746,24.041630560342615
Free kick shot,"[{'y': 15, 'x': 89}, {'y': 100, 'x': 100}]",0,89,15,3.339902966769419,36.68787265568828
Free kick shot,"[{'y': 32, 'x': 80}, {'y': 100, 'x': 100}]",1,80,32,11.242798716738783,26.90724809414742
Free kick shot,"[{'y': 40, 'x': 82}, {'y': 0, 'x': 0}]",0,82,40,17.180229168424916,20.591260281974
Free kick shot,"[{'y': 69, 'x': 71}, {'y': 100, 'x': 100}]",0,71,69,9.6648888198626,34.66987164671943
Free kick shot,"[{'y': 29, 'x': 69}, {'y': 100, 'x': 100}]",0,69,29,8.939813132973047,37.44329045369811
Free kick shot,"[{'y': 55, 'x': 73}, {'y': 0, 'x': 0}]",0,73,55,14.307244802109125,27.459060435491963
Free kick shot,"[{'y': 51, 'x': 76}, {'y': 0, 'x': 0}]",0,76,51,16.604234508552313,24.020824298928627
Free kick shot,"[{'y': 77, 'x': 72}, {'y': 100, 'x': 100}]",0,72,77,7.42243471896945,38.897300677553446
Free kick shot,"[{'y': 49, 'x': 72}, {'y': 0, 'x': 0}]",0,72,49,14.277506545956358,28.0178514522438
Free kick shot,"[{'y': 37, 'x': 78}, {'y': 0, 'x': 0}]",0,78,37,13.632404611692472,25.553864678361276
Free kick shot,"[{'y': 65, 'x': 78}, {'y': 0, 'x': 0}]",0,78,65,12.42109383925913,26.627053911388696
Free kick shot,"[{'y': 45, 'x': 70}, {'y': 100, 'x': 100}]",0,70,45,13.013869932362605,30.4138126514911
Free kick shot,"[{'y': 57, 'x': 77}, {'y': 0, 'x': 0}]",0,77,57,15.873604508220874,24.041630560342615
Free kick shot,"[{'y': 68, 'x': 80}, {'y': 0, 'x': 0}]",0,80,68,11.07769428865703,26.90724809414742
Free kick shot,"[{'y': 19, 'x': 69}, {'y': 0, 'x': 0}]",0,69,19,6.532632824018165,43.840620433565945
Free kick shot,"[{'y': 34, 'x': 73}, {'y': 0, 'x': 0}]",0,73,34,11.079768612186765,31.38470965295043
Free kick shot,"[{'y': 57, 'x': 46}, {'y': 100, 'x': 100}]",0,54,57,8.522954678273177,46.52956049652737
Free kick shot,"[{'y': 14, 'x': 85}, {'y': 100, 'x': 100}]",1,85,14,4.021180872291551,39.0
Free kick shot,"[{'y': 44, 'x': 73}, {'y': 100, 'x': 100}]",0,73,44,14.166468852089103,27.65863337187866
Free kick shot,"[{'y': 50, 'x': 75}, {'y': 100, 'x': 100}]",0,75,50,15.983616816962389,25.0
Free kick shot,"[{'y': 32, 'x': 75}, {'y': 100, 'x': 100}]",0,75,32,10.671994682732274,30.805843601498726
Free kick shot,"[{'y': 40, 'x': 78}, {'y': 0, 'x': 0}]",0,78,40,15.193148640384239,24.166091947189145
Free kick shot,"[{'y': 79, 'x': 84}, {'y': 0, 'x': 0}]",0,84,79,5.865148579427803,33.12099032335839
Free kick shot,"[{'y': 37, 'x': 72}, {'y': 100, 'x': 100}]",0,72,37,11.849908182031378,30.870698080866262
Free kick shot,"[{'y': 61, 'x': 72}, {'y': 100, 'x': 100}]",0,72,61,12.373225250491904,30.083217912982647
Free kick shot,"[{'y': 97, 'x': 46}, {'y': 0, 'x': 0}]",0,54,97,4.268213280440908,65.76473218982953
Free kick shot,"[{'y': 43, 'x': 72}, {'y': 0, 'x': 0}]",0,72,43,13.502048294598566,28.861739379323623
Free kick shot,"[{'y': 43, 'x': 79}, {'y': 0, 'x': 0}]",0,79,43,17.22159587701861,22.135943621178654
Free kick shot,"[{'y': 64, 'x': 81}, {'y': 100, 'x': 100}]",0,81,64,13.657824524566562,23.600847442411894
Free kick shot,"[{'y': 34, 'x': 73}, {'y': 0, 'x': 0}]",1,73,34,11.079768612186765,31.38470965295043
Free kick shot,"[{'y': 57, 'x': 76}, {'y': 100, 'x': 100}]",0,76,57,15.325062994027705,25.0
Free kick shot,"[{'y': 49, 'x': 80}, {'y': 0, 'x': 0}]",0,80,49,19.873948952428208,20.024984394500787
Free kick shot,"[{'y': 70, 'x': 78}, {'y': 100, 'x': 100}]",0,78,70,9.97957373504799,29.732137494637012
Free kick shot,"[{'y': 64, 'x': 73}, {'y': 0, 'x': 0}]",0,73,64,11.679544707327045,30.4138126514911
Free kick shot,"[{'y': 79, 'x': 82}, {'y': 100, 'x': 100}]",0,82,79,6.209328380423496,34.132096331752024
Free kick shot,"[{'y': 68, 'x': 81}, {'y': 100, 'x': 100}]",1,81,68,11.127790660859494,26.1725046566048
Free kick shot,"[{'y': 70, 'x': 75}, {'y': 100, 'x': 100}]",0,75,70,9.774850435769972,32.01562118716424
Free kick shot,"[{'y': 30, 'x': 69}, {'y': 0, 'x': 0}]",0,69,30,9.206223134428054,36.89173349139343
Free kick shot,"[{'y': 35, 'x': 80}, {'y': 100, 'x': 100}]",0,80,35,12.998695277325512,25.0
Free kick shot,"[{'y': 33, 'x': 77}, {'y': 100, 'x': 100}]",1,77,33,11.402079541406215,28.600699292150182
Free kick shot,"[{'y': 38, 'x': 72}, {'y': 0, 'x': 0}]",0,72,38,12.161375530123678,30.463092423455635
Free kick shot,"[{'y': 73, 'x': 76}, {'y': 100, 'x': 100}]",0,76,73,8.711057528426304,33.24154027718932
Free kick shot,"[{'y': 58, 'x': 76}, {'y': 0, 'x': 0}]",0,76,58,14.96984124544673,25.298221281347036
Free kick shot,"[{'y': 26, 'x': 76}, {'y': 0, 'x': 0}]",0,76,26,8.461712260528458,33.94112549695428
Free kick shot,"[{'y': 44, 'x': 72}, {'y': 100, 'x': 100}]",0,72,44,13.706856257394602,28.635642126552707
Free kick shot,"[{'y': 65, 'x': 68}, {'y': 0, 'x': 0}]",0,68,65,10.258673475428404,35.34119409414458
Free kick shot,"[{'y': 74, 'x': 74}, {'y': 0, 'x': 0}]",0,74,74,8.327741229921843,35.38361202590826
Free kick shot,"[{'y': 42, 'x': 82}, {'y': 0, 'x': 0}]",0,82,42,18.700565798362344,19.697715603592208
Free kick shot,"[{'y': 44, 'x': 76}, {'y': 100, 'x': 100}]",1,76,44,15.737046539852093,24.73863375370596
Free kick shot,"[{'y': 40, 'x': 75}, {'y': 0, 'x': 0}]",0,75,40,13.88983712280153,26.92582403567252
Free kick shot,"[{'y': 19, 'x': 79}, {'y': 0, 'x': 0}]",0,79,19,6.095795245469555,37.44329045369811
Free kick shot,"[{'y': 44, 'x': 79}, {'y': 0, 'x': 0}]",0,79,44,17.665057361248518,21.840329667841555
Free kick shot,"[{'y': 70, 'x': 80}, {'y': 100, 'x': 100}]",0,80,70,10.031421665376788,28.284271247461902
Free kick shot,"[{'y': 26, 'x': 72}, {'y': 100, 'x': 100}]",0,72,26,8.341924221310869,36.87817782917155
Free kick shot,"[{'y': 27, 'x': 81}, {'y': 100, 'x': 100}]",0,81,27,8.708261737813878,29.832867780352597
Free kick shot,"[{'y': 26, 'x': 77}, {'y': 100, 'x': 100}]",0,77,26,8.460271046139939,33.24154027718932
Free kick shot,"[{'y': 39, 'x': 74}, {'y': 100, 'x': 100}]",0,74,39,13.147426707953853,28.231188426986208
Free kick shot,"[{'y': 17, 'x': 90}, {'y': 100, 'x': 100}]",0,90,17,3.4430175561314593,34.48187929913333
Free kick shot,"[{'y': 32, 'x': 78}, {'y': 0, 'x': 0}]",0,78,32,11.057327378067441,28.42534080710379
Free kick shot,"[{'y': 36, 'x': 80}, {'y': 100, 'x': 100}]",0,80,36,13.619016886754924,24.413111231467404
Free kick shot,"[{'y': 28, 'x': 76}, {'y': 0, 'x': 0}]",0,76,28,9.19239583625569,32.55764119219941
Free kick shot,"[{'y': 52, 'x': 82}, {'y': 100, 'x': 100}]",0,82,52,21.77627000541753,18.110770276274835
Free kick shot,"[{'y': 75, 'x': 71}, {'y': 0, 'x': 0}]",0,71,75,7.931597817032546,38.28837943815329
Free kick shot,"[{'y': 52, 'x': 81}, {'y': 100, 'x': 100}]",0,81,52,20.682706050841908,19.1049731745428
Free kick shot,"[{'y': 39, 'x': 73}, {'y': 0, 'x': 0}]",0,73,39,12.797938304022791,29.154759474226502
Free kick shot,"[{'y': 57, 'x': 81}, {'y': 100, 'x': 100}]",0,81,57,18.449462058605775,20.248456731316587
Free kick shot,"[{'y': 71, 'x': 75}, {'y': 100, 'x': 100}]",0,75,71,9.400933342760993,32.64965543462902
Free kick shot,"[{'y': 49, 'x': 72}, {'y': 100, 'x': 100}]",0,72,49,14.277506545956358,28.0178514522438
Free kick shot,"[{'y': 62, 'x': 78}, {'y': 0, 'x': 0}]",0,78,62,14.002662629428063,25.059928172283335
Free kick shot,"[{'y': 27, 'x': 80}, {'y': 0, 'x': 0}]",0,80,27,8.77263857585131,30.479501308256342
Free kick shot,"[{'y': 17, 'x': 96}, {'y': 0, 'x': 0}]",0,96,17,1.4855018582007862,33.24154027718932
Free kick shot,"[{'y': 49, 'x': 71}, {'y': 0, 'x': 0}]",0,71,49,13.790828514945517,29.017236257093817
Free kick shot,"[{'y': 44, 'x': 72}, {'y': 100, 'x': 100}]",0,72,44,13.706856257394602,28.635642126552707
Free kick shot,"[{'y': 67, 'x': 78}, {'y': 0, 'x': 0}]",0,78,67,11.401951949553377,27.80287754891569
Free kick shot,"[{'y': 23, 'x': 83}, {'y': 100, 'x': 100}]",0,83,23,6.821694213931908,31.906112267087632
Free kick shot,"[{'y': 48, 'x': 73}, {'y': 0, 'x': 0}]",0,73,48,14.746492315708274,27.073972741361768
Free kick shot,"[{'y': 13, 'x': 82}, {'y': 100, 'x': 100}]",0,82,13,4.328047776200808,41.14608122288197
Free kick shot,"[{'y': 47, 'x': 73}, {'y': 0, 'x': 0}]",0,73,47,14.654997216850395,27.16615541441225
Free kick shot,"[{'y': 63, 'x': 77}, {'y': 0, 'x': 0}]",0,77,63,13.17757049925473,26.419689627245813
Free kick shot,"[{'y': 49, 'x': 80}, {'y': 0, 'x': 0}]",0,80,49,19.873948952428208,20.024984394500787
Free kick shot,"[{'y': 46, 'x': 83}, {'y': 0, 'x': 0}]",0,83,46,22.264010482579724,17.46424919657298
Free kick shot,"[{'y': 66, 'x': 75}, {'y': 0, 'x': 0}]",0,75,66,11.360349586954241,29.68164415931166
Free kick shot,"[{'y': 37, 'x': 70}, {'y': 100, 'x': 100}]",0,70,37,11.312000501129207,32.69556544854363
Free kick shot,"[{'y': 48, 'x': 71}, {'y': 100, 'x': 100}]",0,71,48,13.747780596710276,29.068883707497267
Free kick shot,"[{'y': 41, 'x': 68}, {'y': 100, 'x': 100}]",0,68,41,11.645117904112936,33.24154027718932
Free kick shot,"[{'y': 61, 'x': 80}, {'y': 0, 'x': 0}]",0,80,61,15.334559265558072,22.825424421026653
Free kick shot,"[{'y': 53, 'x': 74}, {'y': 100, 'x': 100}]",0,74,53,15.160884307652998,26.1725046566048
Free kick shot,"[{'y': 89, 'x': 85}, {'y': 0, 'x': 0}]",0,85,89,3.4524656270389573,41.78516483155236
Free kick shot,"[{'y': 18, 'x': 89}, {'y': 0, 'x': 0}]",0,89,18,3.933236976625408,33.83784863137726
Free kick shot,"[{'y': 37, 'x': 78}, {'y': 100, 'x': 100}]",0,78,37,13.632404611692472,25.553864678361276
Free kick shot,"[{'y': 66, 'x': 81}, {'y': 0, 'x': 0}]",0,81,66,12.343693875701101,24.839484696748443
Free kick shot,"[{'y': 68, 'x': 79}, {'y': 100, 'x': 100}]",0,79,68,11.004356483828955,27.65863337187866
Free kick shot,"[{'y': 58, 'x': 78}, {'y': 0, 'x': 0}]",0,78,58,16.013932673513793,23.40939982143925
Free kick shot,"[{'y': 60, 'x': 78}, {'y': 0, 'x': 0}]",0,78,60,15.041752847815186,24.166091947189145
Free kick shot,"[{'y': 32, 'x': 72}, {'y': 0, 'x': 0}]",0,72,32,10.219526726630578,33.28663395418648
Free kick shot,"[{'y': 52, 'x': 79}, {'y': 0, 'x': 0}]",0,79,52,18.789551515164234,21.095023109728988
Free kick shot,"[{'y': 64, 'x': 73}, {'y': 0, 'x': 0}]",0,73,64,11.679544707327045,30.4138126514911
Free kick shot,"[{'y': 36, 'x': 76}, {'y': 0, 'x': 0}]",0,76,36,12.571481184405393,27.784887978899608
Free kick shot,"[{'y': 82, 'x': 69}, {'y': 0, 'x': 0}]",0,69,82,6.264924999484256,44.553338819890925
Free kick shot,"[{'y': 38, 'x': 75}, {'y': 0, 'x': 0}]",0,75,38,13.117867021529502,27.730849247724095
Free kick shot,"[{'y': 36, 'x': 83}, {'y': 0, 'x': 0}]",0,83,36,14.29083993027136,22.02271554554524
