,Team,Player,Event,X,Y
50,Boston Bolts U16,Normal,Shot,79.0,35.0
51,Boston Bolts U16,1 on 1,Goal,97.0,45.0
52,Boston Bolts U16,First Time,Shot,75.0,36.0
53,Boston Bolts U16,Volley,SOT,91.0,49.0
54,Boston Bolts U16,Normal,Shot,91.0,62.0
55,Boston Bolts U16,Normal,Shot,96.0,31.0
56,Boston Bolts U16,Normal,SOT,87.0,55.0
57,Boston Bolts U16,Volley,Blocked,80.0,63.0
58,Boston Bolts U16,Normal,Shot,81.0,49.0
59,Boston Bolts U16,Normal,SOT,98.0,56.0
60,Boston Bolts U16,First Time,SOT,81.0,45.0
61,Boston Bolts U16,Normal,Shot,83.0,45.0
62,Boston Bolts U16,Normal,SOT,80.0,66.0
63,Boston Bolts U16,Normal,Goal,88.0,56.0
64,Boston Bolts U16,Normal,Shot,78.0,31.0
65,Boston Bolts U16,First Time,Blocked,96.0,61.0
66,Boston Bolts U16,First Time,Shot,85.0,56.0
67,Boston Bolts U16,1 on 1,Goal,95.0,45.0
68,Boston Bolts U16,Normal,Goal,93.0,45.0
69,Boston Bolts U16,First Time,Goal,99.0,56.0
70,Boston Bolts U16,Normal,Shot,82.0,45.0
71,Boston Bolts U16,First Time,Goal,99.0,58.0
72,Boston Bolts U16,Normal,SOT,83.0,56.0
73,Boston Bolts U16,Normal,Shot,74.0,41.0
74,Boston Bolts U16,Normal,Shot,79.0,66.0
75,Boston Bolts U16,Normal,Goal,96.0,46.0
76,Boston Bolts U16,First Time,Goal,92.0,36.0
77,Boston Bolts U16,Normal,Shot,83.0,56.0
78,Boston Bolts U16,Normal,Goal,83.0,53.0
79,Boston Bolts U16,1 on 1,Goal,92.0,59.0
80,Boston Bolts U16,Normal,SOT,81.0,70.0
81,Boston Bolts U16,Normal,Shot,95.0,44.0
82,Boston Bolts U16,1 on 1,Goal,92.0,60.0
83,Boston Bolts U16,Normal,SOT,83.0,58.0
84,Boston Bolts U16,Normal,SOT,91.0,47.0
85,Boston Bolts U16,Normal,Shot,77.0,31.0
86,Boston Bolts U16,Normal,Blocked,76.0,49.0
87,Boston Bolts U16,1 on 1,Goal,88.0,58.0
88,Boston Bolts U16,Normal,Blocked,84.0,43.0
89,Boston Bolts U16,Normal,Blocked,93.0,37.0
90,Boston Bolts U16,1 on 1,Shot,90.0,38.0
91,Boston Bolts U16,First Time,Goal,93.0,45.0
92,Boston Bolts U16,First Time,SOT,85.0,47.0
93,Boston Bolts U16,First Time,Blocked,84.0,33.0
94,Boston Bolts U16,Normal,SOT,78.0,45.0
95,Boston Bolts U16,Normal,Goal,99.0,55.0
96,Boston Bolts U16,First Time,SOT,96.0,42.0
97,Boston Bolts U16,1 on 1,SOT,95.0,58.0
98,Boston Bolts U16,1 on 1,Blocked,95.0,54.0
99,Boston Bolts U16,Normal,Blocked,85.0,54.0
100,Boston Bolts U16,Normal,SOT,91.0,67.0
101,Boston Bolts U16,Normal,Shot,86.0,45.0
102,Boston Bolts U16,Normal,SOT,87.0,45.0
103,Boston Bolts U16,Normal,Shot,76.0,56.0
104,Boston Bolts U16,Normal,Shot,92.0,54.0
105,Boston Bolts U16,Normal,Shot,86.0,53.0
106,Boston Bolts U16,Normal,Shot,73.0,43.0
107,Boston Bolts U16,1 on 1,Goal,93.0,56.0
108,Boston Bolts U16,Normal,Shot,78.0,67.0
109,Boston Bolts U16,Normal,Goal,92.0,41.0
110,Boston Bolts U16,Normal,SOT,87.0,69.0
111,Boston Bolts U16,Normal,SOT,91.0,58.0
112,Boston Bolts U16,Volley,Shot,93.0,72.0
113,Boston Bolts U16,Normal,Shot,90.0,69.0
114,Boston Bolts U16,1 on 1,Blocked,79.0,67.0
115,Boston Bolts U16,Normal,Blocked,77.0,51.0
116,Boston Bolts U16,First Time,Blocked,82.0,56.0
117,Boston Bolts U16,Normal,SOT,83.0,58.0
118,Boston Bolts U16,Normal,Shot,83.0,54.0
119,Boston Bolts U16,Normal,Blocked,92.0,57.0
120,Boston Bolts U16,Normal,Blocked,90.0,53.0
121,Boston Bolts U16,Normal,Shot,89.0,36.0
122,Boston Bolts U16,1 on 1,SOT,95.0,45.0
123,Boston Bolts U16,Normal,Blocked,77.0,40.0
124,Boston Bolts U16,Normal,SOT,90.0,36.0
125,Boston Bolts U16,Volley,Blocked,76.0,41.0
126,Boston Bolts U16,Normal,SOT,95.0,56.0
127,Boston Bolts U16,Normal,SOT,85.0,32.0
128,Boston Bolts U16,1 on 1,Shot,97.0,58.0
129,Boston Bolts U16,First Time,Goal,98.0,61.0
130,Boston Bolts U16,Normal,Shot,81.0,65.0
131,Boston Bolts U16,Normal,SOT,83.0,49.0
132,Boston Bolts U16,Normal,Shot,76.0,49.0
133,Boston Bolts U16,Normal,Shot,73.0,59.0
134,Boston Bolts U16,Normal,Shot,90.0,60.0
135,Boston Bolts U16,Normal,SOT,79.0,35.0
136,Boston Bolts U16,Normal,SOT,90.0,63.0
137,Boston Bolts U16,Normal,Goal,91.0,54.0
138,Boston Bolts U16,Normal,SOT,96.0,65.0
139,Boston Bolts U16,Normal,Shot,90.0,42.0
140,Boston Bolts U16,First Time,Goal,90.0,47.0
141,Boston Bolts U16,Normal,SOT,91.0,62.0
142,Boston Bolts U16,Volley,SOT,90.0,56.0
143,Boston Bolts U16,Normal,SOT,75.0,41.0
144,Boston Bolts U16,1 on 1,Goal,97.0,40.0
145,Boston Bolts U16,Volley,Goal,90.0,68.0
146,Boston Bolts U16,1 on 1,Goal,96.0,41.0
147,Boston Bolts U16,Normal,SOT,80.0,66.0
148,Boston Bolts U16,First Time,Shot,98.0,54.0
149,Boston Bolts U16,Normal,SOT,82.0,36.0
150,Boston Bolts U16,Normal,SOT,90.0,31.0
151,Boston Bolts U16,Normal,Shot,83.0,29.0
152,Boston Bolts U16,First Time,Blocked,84.0,52.0
153,Boston Bolts U16,Normal,Blocked,83.0,40.0
154,Boston Bolts U16,Normal,SOT,74.0,45.0
155,Boston Bolts U16,Normal,SOT,92.0,67.0
156,Boston Bolts U16,Normal,Shot,78.0,33.0
157,Boston Bolts U16,Normal,Blocked,78.0,54.0
158,Boston Bolts U16,Normal,Shot,96.0,69.0
159,Boston Bolts U16,First Time,Goal,93.0,59.0
160,Boston Bolts U16,Normal,Blocked,76.0,32.0
161,Boston Bolts U16,First Time,Shot,76.0,63.0
162,Boston Bolts U16,Normal,Shot,79.0,32.0
163,Boston Bolts U16,Normal,Goal,86.0,38.0
164,Boston Bolts U16,Normal,Shot,93.0,69.0
165,Boston Bolts U16,First Time,SOT,96.0,52.0
166,Boston Bolts U16,First Time,SOT,83.0,50.0
167,Boston Bolts U16,1 on 1,Goal,96.0,53.0
168,Boston Bolts U16,Normal,Shot,79.0,33.0
169,Boston Bolts U16,Normal,SOT,97.0,71.0
170,Boston Bolts U16,First Time,SOT,95.0,40.0
171,Boston Bolts U16,1 on 1,Shot,89.0,67.0
172,Boston Bolts U16,First Time,Goal,91.0,50.0
173,Boston Bolts U16,1 on 1,Goal,91.0,40.0
174,Boston Bolts U16,Normal,SOT,93.0,69.0
175,Boston Bolts U16,First Time,Shot,89.0,46.0
176,Boston Bolts U16,Normal,SOT,88.0,33.0
177,Boston Bolts U16,Normal,Goal,93.0,59.0
178,Boston Bolts U16,Normal,SOT,83.0,37.0
179,Boston Bolts U16,Normal,Shot,83.0,53.0
180,Boston Bolts U16,Normal,SOT,91.0,31.0
181,Boston Bolts U16,Normal,Blocked,84.0,67.0
182,Boston Bolts U16,Normal,Shot,78.0,35.0
183,Boston Bolts U16,Normal,Goal,83.0,57.0
184,Boston Bolts U16,Normal,Goal,94.0,32.0
185,Boston Bolts U16,Normal,SOT,90.0,61.0
186,Boston Bolts U16,Volley,SOT,95.0,39.0
187,Boston Bolts U16,Normal,SOT,85.0,67.0
188,Boston Bolts U16,1 on 1,Goal,95.0,45.0
189,Boston Bolts U16,Normal,Shot,77.0,56.0
190,Boston Bolts U16,Normal,Blocked,81.0,29.0
191,Boston Bolts U16,1 on 1,Shot,89.0,34.0
192,Boston Bolts U16,First Time,Shot,86.0,45.0
193,Boston Bolts U16,Normal,SOT,95.0,72.0
194,Boston Bolts U16,First Time,Goal,95.0,43.0
195,Boston Bolts U16,1 on 1,Goal,95.0,42.0
196,Boston Bolts U16,Normal,Blocked,81.0,47.0
197,Boston Bolts U16,Normal,Shot,85.0,69.0
198,Boston Bolts U16,Normal,Blocked,94.0,37.0
199,Boston Bolts U16,1 on 1,SOT,95.0,38.0
200,Boston Bolts U16,Normal,SOT,82.0,70.0
201,Boston Bolts U16,First Time,Goal,95.0,45.0
202,Boston Bolts U16,Normal,Shot,80.0,64.0
203,Boston Bolts U16,Normal,Blocked,85.0,53.0
204,Boston Bolts U16,1 on 1,Shot,93.0,57.0
205,Boston Bolts U16,Normal,SOT,97.0,37.0
206,Boston Bolts U16,Normal,Blocked,85.0,74.0
207,Boston Bolts U16,Normal,Shot,76.0,52.0
208,Boston Bolts U16,Normal,Shot,96.0,30.0
209,Boston Bolts U16,Normal,SOT,93.0,70.0
210,Boston Bolts U16,Normal,SOT,93.0,71.0
211,Boston Bolts U16,Normal,Blocked,78.0,33.0
212,Boston Bolts U16,Normal,Shot,85.0,54.0
213,Boston Bolts U16,Normal,Blocked,85.0,36.0
214,Boston Bolts U16,Normal,Goal,88.0,59.0
215,Boston Bolts U16,Normal,SOT,75.0,64.0
216,Boston Bolts U16,Normal,Blocked,94.0,71.0
217,Boston Bolts U16,First Time,Shot,78.0,69.0
218,Boston Bolts U16,Normal,Blocked,87.0,40.0
219,Boston Bolts U16,Normal,SOT,91.0,70.0
220,Boston Bolts U16,Normal,SOT,96.0,31.0
221,Boston Bolts U16,1 on 1,Goal,95.0,43.0
222,Boston Bolts U16,First Time,Blocked,84.0,66.0
223,Boston Bolts U16,Normal,SOT,82.0,66.0
224,Boston Bolts U16,First Time,Goal,95.0,55.0
225,Boston Bolts U16,1 on 1,Goal,95.0,55.0
226,Boston Bolts U16,First Time,SOT,83.0,74.0
227,Boston Bolts U16,Normal,SOT,98.0,60.0
228,Boston Bolts U16,Normal,Goal,99.0,43.0
229,Boston Bolts U16,1 on 1,SOT,96.0,43.0
230,Boston Bolts U19,Normal,SOT,91.0,67.0
231,Boston Bolts U19,Normal,SOT,93.0,53.0
232,Boston Bolts U19,First Time,Shot,90.0,34.0
233,Boston Bolts U19,Volley,Shot,90.0,32.0
234,Boston Bolts U19,Volley,Goal,98.0,46.0
235,Boston Bolts U19,First Time,Goal,98.0,45.0
236,Boston Bolts U19,1 on 1,Goal,98.0,45.0
237,Boston Bolts U19,1 on 1,Shot,95.0,69.0
238,Boston Bolts U19,Normal,Blocked,90.0,31.0
239,Boston Bolts U19,Normal,SOT,76.0,51.0
240,Boston Bolts U19,First Time,Goal,95.0,43.0
241,Boston Bolts U19,Normal,Goal,97.0,51.0
242,Boston Bolts U19,First Time,Goal,96.0,40.0
243,Boston Bolts U19,1 on 1,Goal,97.0,41.0
244,Boston Bolts U19,Volley,Goal,96.0,42.0
245,Boston Bolts U19,Normal,Goal,94.0,33.0
246,Boston Bolts U19,Normal,Goal,89.0,31.0
247,Boston Bolts U19,First Time,Goal,93.0,43.0
248,Boston Bolts U19,Normal,Shot,88.0,66.0
249,Boston Bolts U19,Normal,Shot,80.0,43.0
250,Boston Bolts U19,First Time,Shot,78.0,72.0
251,Boston Bolts U19,First Time,Goal,95.0,54.0
252,Boston Bolts U19,First Time,Shot,97.0,56.0
253,Boston Bolts U19,Volley,Shot,89.0,31.0
254,Boston Bolts U19,Normal,Blocked,81.0,64.0
255,Boston Bolts U19,First Time,Blocked,88.0,37.0
256,Boston Bolts U19,Normal,SOT,97.0,38.0
257,Boston Bolts U19,First Time,Shot,78.0,36.0
258,Boston Bolts U19,Normal,Shot,76.0,35.0
259,Boston Bolts U19,Normal,Shot,80.0,63.0
260,Boston Bolts U19,Normal,Blocked,78.0,54.0
261,Boston Bolts U19,1 on 1,Goal,90.0,50.0
262,Boston Bolts U19,Volley,Shot,93.0,69.0
263,Boston Bolts U19,First Time,Shot,79.0,31.0
264,Boston Bolts U19,First Time,Goal,96.0,45.0
265,Boston Bolts U19,Normal,Blocked,92.0,61.0
266,Boston Bolts U19,Normal,Blocked,95.0,31.0
267,Boston Bolts U19,Normal,Blocked,83.0,32.0
268,Boston Bolts U19,Normal,Shot,72.0,43.0
269,Boston Bolts U19,Normal,SOT,83.0,47.0
270,Boston Bolts U19,Normal,Shot,93.0,70.0
271,Boston Bolts U19,Normal,SOT,78.0,67.0
272,Boston Bolts U19,Normal,SOT,96.0,33.0
273,Boston Bolts U19,Normal,Shot,81.0,30.0
274,Boston Bolts U19,Normal,Shot,93.0,69.0
275,Boston Bolts U19,Normal,SOT,79.0,41.0
276,Boston Bolts U19,Normal,SOT,91.0,36.0
277,Boston Bolts U19,Normal,Shot,91.0,67.0
278,Boston Bolts U19,Normal,Blocked,90.0,57.0
279,Boston Bolts U19,First Time,Blocked,87.0,53.0
280,Boston Bolts U19,Volley,SOT,89.0,59.0
281,Boston Bolts U19,Normal,Goal,96.0,60.0
282,Boston Bolts U19,Normal,SOT,97.0,64.0
283,Boston Bolts U19,Normal,Blocked,90.0,43.0
284,Boston Bolts U19,Normal,Blocked,78.0,51.0
285,Boston Bolts U19,Normal,Blocked,88.0,58.0
286,Boston Bolts U19,Volley,SOT,90.0,47.0
287,Boston Bolts U19,Normal,Goal,98.0,50.0
288,Boston Bolts U19,Normal,SOT,98.0,70.0
289,Boston Bolts U19,Normal,SOT,98.0,70.0
290,Boston Bolts U19,Normal,Goal,92.0,60.0
291,Boston Bolts U19,First Time,Shot,91.0,58.0
292,Boston Bolts U19,Volley,Shot,92.0,58.0
293,Boston Bolts U19,Normal,Shot,72.0,27.0
294,Boston Bolts U19,Normal,Shot,81.0,47.0
295,Boston Bolts U19,Normal,Blocked,79.0,41.0
296,Boston Bolts U19,First Time,Shot,77.0,67.0
297,Boston Bolts U19,Normal,SOT,85.0,66.0
298,Boston Bolts U19,Normal,SOT,84.0,63.0
299,Boston Bolts U19,Volley,SOT,94.0,54.0
300,Boston Bolts U19,Volley,Goal,92.0,46.0
301,Boston Bolts U19,1 on 1,Shot,92.0,47.0
302,Boston Bolts U19,Normal,SOT,79.0,25.0
303,Boston Bolts U19,Normal,Blocked,84.0,69.0
304,Boston Bolts U19,Normal,SOT,77.0,48.0
305,Boston Bolts U19,Normal,Blocked,78.0,49.0
306,Boston Bolts U19,Normal,Shot,77.0,30.0
307,Boston Bolts U19,Normal,Goal,90.0,47.0
308,Boston Bolts U19,Normal,SOT,81.0,70.0
309,Boston Bolts U19,Normal,SOT,82.0,63.0
310,Boston Bolts U19,Normal,Shot,90.0,62.0
311,Boston Bolts U19,Normal,SOT,78.0,43.0
312,Boston Bolts U19,Normal,Shot,95.0,29.0
313,Boston Bolts U19,Normal,Shot,90.0,70.0
314,Boston Bolts U19,Normal,Shot,90.0,70.0
315,Boston Bolts U19,Normal,Blocked,91.0,34.0
316,Boston Bolts U19,Normal,Blocked,83.0,36.0
317,Boston Bolts U19,Normal,SOT,91.0,63.0
318,Boston Bolts U19,Volley,Shot,93.0,37.0
319,Boston Bolts U19,Normal,SOT,92.0,43.0
320,Boston Bolts U19,1 on 1,SOT,91.0,36.0
321,Boston Bolts U19,Normal,Shot,77.0,35.0
322,Boston Bolts U19,Normal,SOT,90.0,65.0
323,Boston Bolts U19,Normal,Blocked,88.0,43.0
324,Boston Bolts U19,Normal,Blocked,87.0,67.0
325,Boston Bolts U19,Normal,Shot,90.0,42.0
326,Boston Bolts U19,Normal,Shot,90.0,65.0
327,Boston Bolts U19,Normal,Blocked,98.0,42.0
328,Boston Bolts U19,Normal,Blocked,92.0,65.0
329,Boston Bolts U19,Normal,Blocked,78.0,56.0
330,Boston Bolts U19,Volley,Goal,93.0,58.0
331,Boston Bolts U19,Normal,Shot,80.0,34.0
332,Boston Bolts U19,Normal,Shot,90.0,61.0
333,Boston Bolts U19,Volley,SOT,95.0,45.0
334,Boston Bolts U19,Normal,Blocked,94.0,31.0
335,Boston Bolts U19,Normal,Shot,84.0,69.0
336,Boston Bolts U19,Volley,SOT,94.0,47.0
337,Boston Bolts U19,First Time,SOT,93.0,47.0
338,Boston Bolts U19,Normal,SOT,76.0,39.0
339,Boston Bolts U19,Normal,SOT,76.0,43.0
340,Boston Bolts U19,Normal,SOT,79.0,56.0
341,Boston Bolts U19,Normal,Goal,87.0,61.0
342,Boston Bolts U19,Normal,SOT,96.0,42.0
343,Boston Bolts U19,Normal,Shot,81.0,43.0
344,Boston Bolts U19,Normal,Goal,91.0,69.0
345,Boston Bolts U13,Normal,Blocked,85.0,58.0
346,Boston Bolts U13,Normal,SOT,95.0,31.0
347,Boston Bolts U13,Volley,Goal,95.0,59.0
348,Boston Bolts U13,Normal,Shot,77.0,33.0
349,Boston Bolts U13,Normal,SOT,82.0,40.0
350,Boston Bolts U13,Normal,SOT,79.0,69.0
351,Boston Bolts U13,1 on 1,Goal,76.0,67.0
352,Boston Bolts U13,Normal,Blocked,91.0,35.0
353,Boston Bolts U13,Normal,SOT,92.0,58.0
354,Boston Bolts U13,First Time,SOT,89.0,59.0
355,Boston Bolts U13,Volley,Goal,84.0,69.0
356,Boston Bolts U13,1 on 1,SOT,93.0,28.0
357,Boston Bolts U13,Normal,Goal,88.0,48.0
358,Boston Bolts U13,Normal,Shot,80.0,63.0
359,Boston Bolts U13,Normal,SOT,85.0,71.0
360,Boston Bolts U13,Normal,Blocked,77.0,69.0
361,Boston Bolts U13,First Time,Shot,86.0,69.0
362,Boston Bolts U13,Volley,Shot,89.0,68.0
363,Boston Bolts U13,1 on 1,Shot,78.0,50.0
364,Boston Bolts U13,First Time,Shot,75.0,28.0
365,Boston Bolts U13,Normal,SOT,99.0,35.0
366,Boston Bolts U13,Volley,Blocked,85.0,34.0
367,Boston Bolts U13,Volley,SOT,84.0,50.0
368,Boston Bolts U13,Normal,SOT,87.0,53.0
369,Boston Bolts U13,First Time,Shot,85.0,56.0
370,Boston Bolts U13,First Time,SOT,71.0,67.0
371,Boston Bolts U13,First Time,Shot,77.0,51.0
372,Boston Bolts U13,Volley,Shot,79.0,56.0
373,Boston Bolts U13,Normal,SOT,86.0,45.0
374,Boston Bolts U13,Normal,Blocked,75.0,37.0
375,Boston Bolts U13,First Time,Shot,81.0,56.0
376,Boston Bolts U13,Normal,SOT,90.0,42.0
377,Boston Bolts U13,Normal,SOT,83.0,68.0
378,Boston Bolts U13,Volley,Blocked,92.0,55.0
379,Boston Bolts U13,Normal,Shot,84.0,56.0
380,Boston Bolts U13,Volley,Shot,90.0,27.0
381,Boston Bolts U13,First Time,SOT,91.0,45.0
382,Boston Bolts U13,First Time,SOT,84.0,50.0
383,Boston Bolts U13,First Time,SOT,87.0,52.0
384,Boston Bolts U13,First Time,Blocked,81.0,57.0
385,Boston Bolts U13,Normal,SOT,91.0,68.0
386,Boston Bolts U13,Normal,Goal,79.0,52.0
387,Boston Bolts U13,Normal,Shot,86.0,63.0
388,Boston Bolts U13,Normal,SOT,93.0,54.0
389,Boston Bolts U13,First Time,SOT,86.0,63.0
390,Boston Bolts U13,First Time,Shot,75.0,40.0
391,Boston Bolts U13,First Time,Blocked,73.0,42.0
392,Boston Bolts U13,Normal,SOT,94.0,44.0
393,Boston Bolts U13,First Time,Blocked,79.0,56.0
394,Boston Bolts U13,Normal,Shot,95.0,73.0
395,Boston Bolts U13,First Time,Shot,83.0,44.0
396,Boston Bolts U13,Normal,SOT,85.0,55.0
397,Boston Bolts U13,First Time,Shot,83.0,70.0
398,Boston Bolts U13,Normal,Goal,87.0,73.0
399,Boston Bolts U13,First Time,SOT,90.0,61.0
400,Boston Bolts U13,Normal,SOT,89.0,71.0
401,Boston Bolts U13,Normal,SOT,95.0,32.0
402,Boston Bolts U13,Normal,SOT,97.0,64.0
403,Boston Bolts U13,Normal,Shot,87.0,45.0
404,Boston Bolts U13,Normal,Shot,71.0,70.0
405,Boston Bolts U13,Normal,SOT,93.0,61.0
406,Boston Bolts U13,1 on 1,Goal,92.0,56.0
407,Boston Bolts U13,Normal,SOT,71.0,33.0
408,Boston Bolts U13,Normal,Shot,90.0,55.0
409,Boston Bolts U13,1 on 1,Shot,96.0,44.0
410,Boston Bolts U13,Volley,Shot,84.0,49.0
411,Boston Bolts U13,Normal,Shot,89.0,30.0
412,Boston Bolts U13,First Time,Blocked,80.0,40.0
413,Boston Bolts U13,First Time,Shot,72.0,49.0
414,Boston Bolts U13,Normal,SOT,71.0,59.0
415,Boston Bolts U13,Normal,SOT,78.0,71.0
416,Boston Bolts U13,First Time,SOT,86.0,48.0
417,Boston Bolts U13,Volley,Shot,90.0,46.0
418,Boston Bolts U13,Normal,SOT,97.0,34.0
419,Boston Bolts U13,Normal,Shot,86.0,33.0
420,Boston Bolts U13,Normal,Blocked,75.0,29.0
421,Boston Bolts U13,Normal,SOT,74.0,29.0
422,Boston Bolts U13,Normal,Blocked,87.0,50.0
423,Boston Bolts U13,Volley,SOT,86.0,53.0
424,Boston Bolts U13,Normal,SOT,77.0,58.0
425,Boston Bolts U13,Normal,Shot,77.0,66.0
426,Boston Bolts U13,Normal,SOT,70.0,21.0
427,Boston Bolts U13,First Time,Blocked,75.0,60.0
428,Boston Bolts U14,Normal,SOT,93.0,57.0
429,Boston Bolts U14,First Time,SOT,92.0,67.0
430,Boston Bolts U14,Normal,Shot,83.0,53.0
431,Boston Bolts U14,First Time,SOT,94.0,38.0
432,Boston Bolts U14,Normal,Shot,87.0,56.0
433,Boston Bolts U14,Normal,Blocked,86.0,54.0
434,Boston Bolts U14,First Time,SOT,87.0,50.0
435,Boston Bolts U14,First Time,SOT,94.0,38.0
436,Boston Bolts U14,Normal,Shot,91.0,31.0
437,Boston Bolts U14,Volley,SOT,86.0,48.0
438,Boston Bolts U14,Normal,SOT,70.0,73.0
439,Boston Bolts U14,Normal,Goal,93.0,65.0
440,Boston Bolts U14,Normal,SOT,84.0,49.0
441,Boston Bolts U14,Normal,Blocked,82.0,45.0
442,Boston Bolts U14,Normal,Shot,91.0,58.0
443,Boston Bolts U14,Normal,Shot,81.0,29.0
444,Boston Bolts U14,Normal,SOT,81.0,69.0
445,Boston Bolts U14,Normal,Blocked,84.0,33.0
446,Boston Bolts U14,Volley,Blocked,90.0,59.0
447,Boston Bolts U14,First Time,Goal,85.0,71.0
448,Boston Bolts U14,Normal,SOT,89.0,56.0
449,Boston Bolts U14,Normal,Shot,84.0,42.0
450,Boston Bolts U14,First Time,Goal,89.0,59.0
451,Boston Bolts U14,First Time,SOT,88.0,38.0
452,Boston Bolts U14,First Time,Blocked,81.0,35.0
453,Boston Bolts U14,Normal,Blocked,79.0,54.0
454,Boston Bolts U14,Normal,Blocked,78.0,55.0
455,Boston Bolts U14,Normal,Shot,84.0,40.0
456,Boston Bolts U14,Volley,Goal,96.0,53.0
457,Boston Bolts U14,First Time,Blocked,83.0,50.0
458,Boston Bolts U14,Normal,SOT,93.0,65.0
459,Boston Bolts U14,Volley,SOT,93.0,43.0
460,Boston Bolts U14,Normal,Blocked,90.0,64.0
461,Boston Bolts U14,Normal,SOT,91.0,66.0
462,Boston Bolts U14,Normal,Shot,80.0,40.0
463,Boston Bolts U14,Normal,Shot,76.0,50.0
464,Boston Bolts U14,Normal,SOT,85.0,62.0
465,Boston Bolts U14,Volley,Blocked,83.0,47.0
466,Boston Bolts U14,Volley,SOT,87.0,33.0
467,Boston Bolts U14,Normal,Blocked,82.0,51.0
468,Boston Bolts U14,Normal,Blocked,82.0,52.0
469,Boston Bolts U14,Normal,Blocked,71.0,44.0
470,Boston Bolts U14,First Time,Shot,72.0,63.0
471,Boston Bolts U14,Volley,SOT,90.0,46.0
472,Boston Bolts U14,Normal,Shot,70.0,48.0
473,Boston Bolts U14,Normal,Goal,97.0,59.0
474,Boston Bolts U14,First Time,Shot,87.0,69.0
475,Boston Bolts U14,Normal,Goal,83.0,44.0
476,Boston Bolts U14,Normal,Shot,75.0,40.0
477,Boston Bolts U14,Normal,Goal,92.0,44.0
478,Boston Bolts U14,Normal,Goal,97.0,35.0
479,Boston Bolts U14,First Time,Goal,88.0,58.0
480,Boston Bolts U14,Normal,Shot,74.0,59.0
481,Boston Bolts U14,Normal,Shot,71.0,41.0
482,Boston Bolts U14,First Time,Shot,85.0,69.0
483,Boston Bolts U14,First Time,Shot,89.0,28.0
484,Boston Bolts U14,Normal,Shot,81.0,28.0
485,Boston Bolts U14,Normal,Blocked,71.0,31.0
486,Boston Bolts U14,Normal,Goal,75.0,33.0
487,Boston Bolts U14,Normal,Goal,77.0,49.0
488,Boston Bolts U14,Normal,Shot,78.0,62.0
489,Boston Bolts U14,Normal,Goal,73.0,63.0
490,Boston Bolts U14,Volley,Shot,88.0,43.0
491,Boston Bolts U14,Normal,Shot,76.0,35.0
