,Team,Player,Event,X,Y
0,Boston Bolts U17,Normal,Blocked,96.0,31.0
1,Boston Bolts U17,Volley,Shot,87.0,34.0
2,Boston Bolts U17,Normal,Shot,73.0,58.0
3,Boston Bolts U17,Normal,Goal,89.0,66.0
4,Boston Bolts U17,First Time,Goal,96.0,56.0
5,Boston Bolts U17,Normal,Blocked,85.0,70.0
6,Boston Bolts U17,Normal,Blocked,82.0,26.0
7,Boston Bolts U17,Normal,Shot,71.0,48.0
8,Boston Bolts U17,First Time,SOT,89.0,32.0
9,Boston Bolts U17,First Time,Goal,90.0,26.0
10,Boston Bolts U17,Normal,SOT,81.0,30.0
11,Boston Bolts U17,Normal,Goal,91.0,58.0
12,Boston Bolts U17,First Time,Shot,91.0,47.0
13,Boston Bolts U17,1 on 1,Shot,86.0,52.0
14,Boston Bolts U17,1 on 1,Goal,86.0,48.0
15,Boston Bolts U17,Normal,Goal,93.0,32.0
16,Boston Bolts U17,Normal,Blocked,83.0,68.0
17,Boston Bolts U17,Volley,Shot,91.0,24.0
18,Boston Bolts U17,Volley,Shot,90.0,41.0
19,Boston Bolts U17,Normal,Goal,87.0,66.0
20,Boston Bolts U17,Volley,Shot,84.0,69.0
21,Boston Bolts U17,Normal,Shot,73.0,55.0
22,Boston Bolts U17,Normal,Goal,92.0,65.0
23,Boston Bolts U17,Normal,Shot,75.0,51.0
24,Boston Bolts U17,Volley,Blocked,78.0,49.0
25,Boston Bolts U17,First Time,Shot,95.0,61.0
26,Boston Bolts U17,Normal,Blocked,82.0,40.0
27,Boston Bolts U17,Normal,Blocked,79.0,70.0
28,Boston Bolts U17,Normal,Shot,87.0,44.0
29,Boston Bolts U17,Normal,Shot,79.0,78.0
30,Boston Bolts U17,Volley,Shot,90.0,23.0
31,Boston Bolts U17,First Time,SOT,82.0,34.0
32,Boston Bolts U17,First Time,SOT,91.0,37.0
33,Boston Bolts U17,Normal,Blocked,80.0,69.0
34,Boston Bolts U17,Normal,Shot,80.0,41.0
35,Boston Bolts U16,Normal,SOT,84.0,58.0
36,Boston Bolts U16,Volley,Shot,73.0,58.0
37,Boston Bolts U16,Normal,SOT,95.0,44.0
38,Boston Bolts U16,Normal,Blocked,83.0,56.0
39,Boston Bolts U16,Normal,Blocked,90.0,61.0
40,Boston Bolts U16,Normal,SOT,83.0,34.0
41,Boston Bolts U16,Volley,Shot,92.0,56.0
42,Boston Bolts U16,Normal,SOT,92.0,62.0
43,Boston Bolts U16,1 on 1,SOT,98.0,54.0
44,Boston Bolts U16,Normal,SOT,92.0,31.0
45,Boston Bolts U16,Volley,Shot,95.0,54.0
46,Boston Bolts U16,Normal,Blocked,84.0,28.0
47,Boston Bolts U16,Normal,Shot,89.0,51.0
48,Boston Bolts U16,Normal,Blocked,90.0,34.0
49,Boston Bolts U16,Normal,SOT,93.0,58.0
