Team,Event,Mins,Secs,X,Y,Angle,Distance,Goal
Bayside,Header,54.0,34.0,94.0,59.0,21.41362221961509,10.816653826391969,0
Bayside,Header,54.0,34.0,95.0,45.0,44.11422567480093,7.0710678118654755,0
Boston Bolts U17,Header,0.0,0.0,95.0,38.0,12.91239824607395,13.0,0
NYSC,Header,0.0,0.0,95.0,60.0,16.87593445255026,11.180339887498949,0
Boston Bolts U17,Header,55.0,10.0,98.0,55.0,37.643966932135896,5.385164807134504,0
Boston Bolts U17,Header,55.0,10.0,93.0,54.0,42.353794355503986,8.06225774829855,0
Boston Bolts U17,Header,55.0,10.0,93.0,46.0,43.655331174356,8.06225774829855,0
Toronto,Goal Header,54.0,22.0,95.0,48.0,65.35633865732379,5.385164807134504,1
Toronto,Goal Header,54.0,22.0,93.0,40.0,20.18002916345556,12.206555615733702,1
Boston Bolts U17,Header,0.0,0.0,94.0,43.0,30.819469175254298,9.219544457292887,0
Toronto,Header,0.0,0.0,93.0,51.0,52.28343996046652,7.0710678118654755,0
Boston Bolts U17,Header,53.0,22.0,99.0,40.0,4.682720941917792,10.04987562112089,0
NYC,Header,0.0,0.0,94.0,52.0,56.10099843509424,6.324555320336759,0
Boston Bolts U17,Header,55.0,10.0,97.0,59.0,14.67787929363759,9.486832980505138,0
Boston Bolts U17,Header,55.0,10.0,95.0,52.0,63.75919783915299,5.385164807134504,0
Boston Bolts U17,Header,0.0,0.0,92.0,57.0,28.647371631910723,10.63014581273465,0
Boston Bolts U17,Header,52.0,46.0,95.0,57.0,28.816777895579982,8.602325267042627,0
Boston Bolts U17,Header,52.0,46.0,94.0,53.0,51.41791250604387,6.708203932499369,0
Boston Bolts U17,Header,0.0,48.0,94.0,48.0,57.2404698081054,6.324555320336759,0
Boston Bolts U17,Header,53.0,58.0,88.0,45.0,28.492008262532803,13.0,0
Boston Bolts U17,Header,0.0,12.0,94.0,55.0,39.99677483356678,7.810249675906654,0
Boston Bolts U17,Header,0.0,12.0,94.0,45.0,41.74341016059785,7.810249675906654,0
Boston Bolts U17,Header,0.0,12.0,95.0,53.0,57.22077247355919,5.830951894845301,0
Boston Bolts U17,Header,0.0,12.0,88.0,54.0,29.498564559650905,12.649110640673518,0
Boston Bolts U13,Goal Header,62.0,6.0,98.0,59.0,10.547737215698604,9.219544457292887,1
Boston Bolts U13,Header,2.0,29.0,96.0,58.0,21.828911097729115,8.94427190999916,0
Boston Bolts U13,Header,54.0,18.0,95.0,44.0,36.809806556262465,7.810249675906654,0
NYSC,Header,54.0,18.0,97.0,46.0,61.35783155956763,5.0,0
Boston Bolts U13,Header,6.0,14.0,90.0,51.0,38.26435546561895,10.04987562112089,0
NYC,Header,6.0,14.0,91.0,59.0,22.51696004678893,12.727922061357855,0
Boston Bolts U13,Header,0.0,18.0,94.0,45.0,41.74341016059785,7.810249675906654,0
Boston Bolts U13,Header,54.0,18.0,94.0,38.0,14.395304445373204,13.416407864998739,0
Boston Bolts U13,Header,3.0,30.0,87.0,44.0,25.54991353270506,14.317821063276353,0
Boston Bolts U13,Header,3.0,30.0,89.0,45.0,30.28938743048854,12.083045973594572,0
Boston Bolts U13,Goal Header,64.0,54.0,91.0,50.0,42.602216251503926,9.0,1
