Team,Event,Mins,Secs,X,Y,Angle,Distance,Goal
Boston Bolts U13,Header,6.0,5.0,97.0,43.0,25.780586085529983,7.615773105863909,0
Boston Bolts U13,Header,3.0,14.0,98.0,54.0,57.62227545578741,4.47213595499958,0
Boston Bolts U13,Header,60.0,54.0,92.0,44.0,33.175262448517934,10.0,0
Boston Bolts U13,Header,5.0,4.0,93.0,58.0,25.48310110789056,10.63014581273465,0
Boston Bolts U13,Header,3.0,9.0,92.0,41.0,23.363959393026388,12.041594578792296,0
Boston Bolts U13,Goal Header,67.0,23.0,93.0,50.0,53.24414551765339,7.0,1
Boston Bolts U14,Header,2.0,50.0,93.0,46.0,43.655331174356,8.06225774829855,0
Boston Bolts U15,Header,4.0,3.0,94.0,48.0,57.2404698081054,6.324555320336759,0
Boston Bolts U15,Header,58.0,58.0,94.0,52.0,56.10099843509424,6.324555320336759,0
Boston Bolts U15,Header,58.0,58.0,95.0,45.0,44.11422567480093,7.0710678118654755,0
Boston Bolts U19,Header,4.0,8.0,95.0,52.0,63.75919783915299,5.385164807134504,0
Boston Bolts U15,Header,52.0,58.0,92.0,56.0,32.10700527952544,10.0,0
Boston Bolts U15,Header,56.0,33.0,91.0,39.0,18.72378785257829,14.212670403551895,0
Boston Bolts U15,Header,1.0,48.0,91.0,48.0,41.226585696105936,9.219544457292887,0
Boston Bolts U15,Header,49.0,15.0,95.0,69.0,5.285611391204933,19.6468827043885,0
Boston Bolts U15,Header,54.0,29.0,95.0,58.0,23.928232039448726,9.433981132056603,0
Boston Bolts U16,Header,54.0,52.0,93.0,47.0,47.643638912806566,7.615773105863909,0
Boston Bolts U16,Header,3.0,50.0,95.0,43.0,30.493935760564188,8.602325267042627,0
Boston Bolts U16,Header,3.0,50.0,93.0,49.0,52.72380033790009,7.0710678118654755,0
Boston Bolts U16,Goal Header,51.0,30.0,96.0,59.0,17.81079107268244,9.848857801796104,1
Boston Bolts U16,Header,51.0,30.0,91.0,51.0,42.067530337183044,9.055385138137417,0
Boston Bolts U16,Header,11.0,30.0,95.0,45.0,44.11422567480093,7.0710678118654755,0
Boston Bolts U16,Header,11.0,30.0,90.0,47.0,36.23240533729325,10.44030650891055,0
Boston Bolts U19,Header,52.0,58.0,98.0,52.0,104.75448978553864,2.8284271247461903,0
Boston Bolts U19,Header,0.0,0.0,90.0,43.0,27.5436634682225,12.206555615733702,0
Oakwood,Header,55.0,47.0,92.0,41.0,23.363959393026388,12.041594578792296,0
Boston Bolts U19,Header,55.0,47.0,90.0,41.0,22.922794857796266,13.45362404707371,0
Boston Bolts U19,Header,0.0,0.0,91.0,44.0,31.549086516036677,10.816653826391969,0
Boston Bolts U19,Goal Header,0.0,0.0,94.0,58.0,25.054590079249127,10.0,1
Boston Bolts U19,Header,54.0,10.0,91.0,59.0,22.51696004678893,12.727922061357855,0
Boston Bolts U19,Header,54.0,10.0,93.0,58.0,25.48310110789056,10.63014581273465,0
Boston Bolts U19,Header,55.0,14.0,93.0,54.0,42.353794355503986,8.06225774829855,0
Boston Bolts U19,Goal Header,2.0,48.0,96.0,42.0,23.267681114776888,8.94427190999916,1
Boston Bolts U19,Header,0.0,0.0,95.0,46.0,51.91973291735015,6.4031242374328485,0
Boston Bolts U19,Header,0.0,0.0,95.0,53.0,57.22077247355919,5.830951894845301,0
Boston Bolts U19,Header,57.0,6.0,93.0,60.0,19.379206202681033,12.206555615733702,0
Boston Bolts U19,Header,57.0,6.0,87.0,42.0,22.687071665463286,15.264337522473747,0
Boston Bolts U19,Header,57.0,6.0,96.0,55.0,42.914450134448074,6.4031242374328485,0
Bayside,Header,0.0,0.0,95.0,42.0,25.285764273440005,9.433981132056603,0
Boston Bolts U17,Header,54.0,34.0,94.0,46.0,47.5691901003365,7.211102550927978,0
