subEventName,X,Y,Goal,Angle,Distance
Air duel,93,59,0,22.20191346427668,11.40175425099138
Air duel,96,52,1,73.52865782538778,4.47213595499958
Air duel,83,29,0,9.522880476310718,27.018512172212592
Air duel,89,59,0,21.867878497410018,14.212670403551895
Air duel,91,49,0,42.31294769317308,9.055385138137417
Air duel,92,45,1,36.751811927597466,9.433981132056603
Air duel,92,32,0,8.623751594030228,19.697715603592208
Air duel,92,46,1,40.180449868891046,8.94427190999916
Air duel,90,57,0,26.82823067771405,12.206555615733702
Air duel,90,63,0,15.07624001395182,16.401219466856727
Air duel,67,73,0,8.174952687608013,40.22437072223753
Air duel,92,45,0,36.751811927597466,9.433981132056603
Air duel,91,50,0,42.602216251503926,9.0
Air duel,90,45,0,32.26345325146795,11.180339887498949
Air duel,92,63,0,14.038500318876451,15.264337522473747
Air duel,92,52,0,44.927452067158754,8.246211251235321
Air duel,93,51,0,52.28343996046652,7.0710678118654755
Air duel,93,44,0,34.72449050123417,9.219544457292887
Air duel,87,35,0,13.600736932260626,19.849433241279208
Air duel,88,55,0,28.0345173619382,13.0
Air duel,93,37,0,13.685494612117902,14.7648230602334
Air duel,93,58,1,25.48310110789056,10.63014581273465
Air duel,87,47,0,28.975670084625218,13.341664064126334
Air duel,92,54,0,39.18230447692444,8.94427190999916
Air duel,87,63,0,15.476295348258455,18.384776310850235
Air duel,92,44,0,33.175262448517934,10.0
Air duel,91,48,0,41.226585696105936,9.219544457292887
Air duel,94,68,0,6.802413896265553,18.973665961010276
Air duel,89,52,0,34.27595438679419,11.180339887498949
Air duel,95,56,0,34.79993698603051,7.810249675906654
Air duel,91,45,0,34.42017499255265,10.295630140987
Air duel,84,31,0,10.620306719051134,24.839484696748443
Air duel,90,50,0,38.674974296314446,10.0
Air duel,93,34,0,9.686066090794828,17.46424919657298
Air duel,96,53,0,64.1537118775589,5.0
Air duel,96,58,1,21.828911097729115,8.94427190999916
Air duel,95,54,0,49.57165108673406,6.4031242374328485
Air duel,92,51,0,46.656859148466886,8.06225774829855
Air duel,99,2,0,0.17654157731682457,48.010415536631214
Air duel,92,43,0,29.664116101426842,10.63014581273465
Air duel,88,42,0,23.547276806896345,14.422205101855956
Air duel,97,98,0,0.5211932889678862,48.093658625644196
Air duel,94,55,0,39.99677483356678,7.810249675906654
Air duel,90,44,0,29.936372256302302,11.661903789690601
Air duel,63,25,0,7.495187973683184,44.654227123532216
Air duel,73,57,0,13.866813955758685,27.892651361962706
Air duel,89,49,0,35.21576705745286,11.045361017187261
Air duel,91,32,0,9.26495812785358,20.12461179749811
Air duel,92,59,0,22.526899101393923,12.041594578792296
Air duel,90,49,0,38.452951676469866,10.04987562112089
Air duel,87,50,0,30.21557218855236,13.0
Air duel,88,38,0,17.201967047588038,16.97056274847714
Air duel,79,48,0,18.83805683898126,21.095023109728988
Air duel,88,7,0,2.45128843014583,44.64302857109943
Air duel,94,41,1,22.43727038622202,10.816653826391969
Air duel,91,51,0,42.067530337183044,9.055385138137417
Air duel,91,38,0,16.812119007592923,15.0
Air duel,89,52,0,34.27595438679419,11.180339887498949
Air duel,90,57,1,26.82823067771405,12.206555615733702
Air duel,90,56,0,29.220548058008916,11.661903789690601
Air duel,99,92,0,0.2278443919940491,42.01190307520001
Air duel,93,36,0,12.136752299304574,15.652475842498529
Air duel,99,93,0,0.21734244101449188,43.01162633521314
Air duel,93,32,0,7.874323276707923,19.313207915827967
Air duel,93,50,0,53.24414551765339,7.0
Air duel,89,46,0,32.015723907176344,11.704699910719626
Air duel,93,63,0,13.194351709668423,14.7648230602334
Air duel,94,42,0,26.2789043335014,10.0
Air duel,95,72,0,3.9893133599706423,22.561028345356956
Air duel,89,40,0,20.57596909843882,14.866068747318506
Air duel,73,58,0,13.60605410065404,28.160255680657446
Air duel,91,46,0,37.11205874380882,9.848857801796104
Air duel,87,27,0,7.657083769565207,26.419689627245813
Air duel,94,51,0,59.306664302177786,6.082762530298219
Air duel,91,68,0,9.017798243053212,20.12461179749811
Air duel,98,7,0,0.4401005948721864,43.04648650006177
Air duel,88,7,0,2.45128843014583,44.64302857109943
Air duel,92,63,0,14.038500318876451,15.264337522473747
Air duel,77,88,0,4.680481827821818,44.41846462902562
Air duel,91,67,0,9.878672072425113,19.235384061671343
Air duel,94,33,0,7.797022063645827,18.027756377319946
Air duel,90,52,0,37.25457161338753,10.198039027185569
Air duel,93,48,0,50.78264330737907,7.280109889280518
Air duel,91,38,0,16.812119007592923,15.0
Air duel,87,34,0,12.611104770886465,20.615528128088304
Air duel,91,38,0,16.812119007592923,15.0
Air duel,94,42,0,26.2789043335014,10.0
Air duel,91,58,0,25.062919543230006,12.041594578792296
Air duel,91,31,0,8.475203923910835,21.02379604162864
Air duel,95,39,0,15.065071996071188,12.083045973594572
Air duel,93,52,0,49.95279133980381,7.280109889280518
Air duel,75,17,0,5.922424194522452,41.400483088968905
Air duel,91,44,0,31.549086516036677,10.816653826391969
Air duel,94,30,0,5.758090372132951,20.8806130178211
Air duel,97,83,0,1.1012211471859035,33.13608305156178
Air duel,78,86,0,4.962949941797314,42.190046219457976
Air duel,90,65,0,12.478980341169253,18.027756377319946
Air duel,91,49,0,42.31294769317308,9.055385138137417
Air duel,77,11,0,4.556493211260356,45.27692569068709
Air duel,92,60,0,19.951888346465683,12.806248474865697
Air duel,94,53,0,51.41791250604387,6.708203932499369
Air duel,99,15,0,0.334284413315363,35.014282800023196
Air duel,96,60,0,14.743774284823377,10.770329614269007
Air duel,93,62,0,14.92929647099673,13.892443989449804
Air duel,92,47,0,43.20092068304227,8.54400374531753
Air duel,88,55,0,28.0345173619382,13.0
Air duel,92,45,0,36.751811927597466,9.433981132056603
Air duel,91,68,0,9.017798243053212,20.12461179749811
Air duel,92,44,0,33.175262448517934,10.0
Air duel,95,30,0,4.932626334772411,20.615528128088304
Air duel,88,53,0,30.748632684142603,12.36931687685298
Air duel,76,93,0,3.973327858027235,49.24428900898052
Air duel,97,15,0,0.996140311438859,35.12833614050059
Air duel,77,66,0,11.731581697325373,28.0178514522438
Air duel,87,49,0,30.10463700898758,13.038404810405298
Air duel,84,18,0,5.1016876216921325,35.77708763999664
Air duel,96,58,0,21.828911097729115,8.94427190999916
Air duel,95,61,0,14.370084546005222,12.083045973594572
Air duel,87,66,0,12.33009604357396,20.615528128088304
Air duel,84,36,0,14.46194114660629,21.2602916254693
Air duel,90,39,0,18.868794581004007,14.866068747318506
Air duel,90,49,0,38.452951676469866,10.04987562112089
Air duel,91,39,0,18.72378785257829,14.212670403551895
Air duel,97,98,0,0.5211932889678862,48.093658625644196
Air duel,96,72,1,3.251325888615701,22.360679774997898
Air duel,93,52,0,49.95279133980381,7.280109889280518
Air duel,89,38,0,17.223070224167312,16.278820596099706
Air duel,98,88,0,0.5558746256849519,38.05259518088089
Air duel,91,47,0,39.44175784673705,9.486832980505138
Air duel,93,57,0,29.234247116512524,9.899494936611665
Air duel,94,51,0,59.306664302177786,6.082762530298219
Air duel,95,51,1,68.25152097761855,5.0990195135927845
Air duel,57,73,0,7.250638112420547,48.76474136094644
Air duel,92,39,0,18.341304862102344,13.601470508735444
Air duel,92,50,0,47.36650042591959,8.0
Air duel,90,58,0,24.491222267839216,12.806248474865697
Air duel,72,47,0,14.147483659869398,28.160255680657446
Air duel,91,62,0,16.28261238748338,15.0
Air duel,92,44,1,33.175262448517934,10.0
Air duel,54,23,0,6.521970178307251,53.33854141237835
Air duel,54,78,0,6.3622903133295585,53.85164807134504
Air duel,90,66,0,11.388875984272847,18.867962264113206
Air duel,89,66,0,11.804000665894238,19.4164878389476
Air duel,90,51,0,38.26435546561895,10.04987562112089
Air duel,95,42,0,25.285764273440005,9.433981132056603
Air duel,95,29,0,4.485829894257837,21.587033144922902
Air duel,53,16,0,5.637431031190055,58.008620049092706
Air duel,98,32,0,2.5906485677280893,18.110770276274835
Air duel,54,26,0,6.889681654060575,51.884487084291386
Air duel,87,52,0,29.499863584523457,13.152946437965905
Air duel,93,47,0,47.643638912806566,7.615773105863909
Air duel,87,49,0,30.10463700898758,13.038404810405298
Air duel,89,47,0,33.469350681743265,11.40175425099138
Air duel,93,49,1,52.72380033790009,7.0710678118654755
Air duel,86,56,0,23.92672835510341,15.231546211727817
Air duel,90,48,0,37.61646173882444,10.198039027185569
Air duel,52,81,0,5.897651105617723,57.14017850864661
Air duel,90,51,0,38.26435546561895,10.04987562112089
Air duel,98,26,0,1.4348994054491735,24.08318915758459
Air duel,92,65,0,11.29416427363477,17.0
Air duel,92,44,0,33.175262448517934,10.0
Air duel,95,64,0,9.361814611736015,14.866068747318506
Air duel,91,56,1,30.677522830771416,10.816653826391969
Air duel,80,36,0,13.619016886754924,24.413111231467404
Air duel,95,44,0,36.809806556262465,7.810249675906654
Air duel,93,47,0,47.643638912806566,7.615773105863909
Air duel,99,95,1,0.19840878465782313,45.0111097397076
Air duel,94,41,0,22.43727038622202,10.816653826391969
Air duel,53,24,0,6.569596013832786,53.71219600798314
Air duel,92,42,0,26.36599122575925,11.313708498984761
Air duel,96,26,0,2.8079833448862255,24.331050121192877
Air duel,92,49,0,46.982350311495985,8.06225774829855
Air duel,91,33,0,10.158569664040861,19.235384061671343
Air duel,88,59,0,21.359573172294134,15.0
Air duel,92,53,0,42.35395311939014,8.54400374531753
Air duel,93,59,0,22.20191346427668,11.40175425099138
Air duel,93,44,0,34.72449050123417,9.219544457292887
Air duel,91,56,0,30.677522830771416,10.816653826391969
Air duel,89,66,0,11.804000665894238,19.4164878389476
Air duel,99,54,0,49.94295362564725,4.123105625617661
Air duel,89,52,0,34.27595438679419,11.180339887498949
Air duel,91,64,0,13.222115185114214,16.64331697709324
Air duel,90,52,0,37.25457161338753,10.198039027185569
Air duel,92,68,0,8.382886654926397,19.697715603592208
Air duel,95,42,0,25.285764273440005,9.433981132056603
Air duel,87,68,0,10.632840234771662,22.20360331117452
Air duel,93,55,0,37.86514144865322,8.602325267042627
Air duel,93,50,0,53.24414551765339,7.0
Air duel,78,42,0,16.150582684368228,23.40939982143925
Air duel,93,43,0,30.446253016551587,9.899494936611665
Air duel,90,39,0,18.868794581004007,14.866068747318506
Air duel,85,42,0,21.000941918098366,17.0
Air duel,94,52,0,56.10099843509424,6.324555320336759
Air duel,87,60,0,19.361588452696804,16.401219466856727
Air duel,89,41,0,22.437486561849276,14.212670403551895
Air duel,96,46,0,56.61841847465363,5.656854249492381
Air duel,94,61,0,15.885821971153765,12.529964086141668
Air duel,94,38,1,14.395304445373204,13.416407864998739
Air duel,94,42,0,26.2789043335014,10.0
Air duel,88,55,0,28.0345173619382,13.0
Air duel,96,51,0,79.89883279741373,4.123105625617661
Air duel,86,59,0,20.18019567236881,16.64331697709324
Air duel,94,55,0,39.99677483356678,7.810249675906654
Air duel,95,42,0,25.285764273440005,9.433981132056603
Air duel,92,43,0,29.664116101426842,10.63014581273465
Air duel,90,68,0,9.553574413247809,20.591260281974
Air duel,91,48,0,41.226585696105936,9.219544457292887
Air duel,89,56,0,27.79328146820519,12.529964086141668
Air duel,91,50,0,42.602216251503926,9.0
Air duel,90,49,0,38.452951676469866,10.04987562112089
Air duel,95,55,0,41.83978175238584,7.0710678118654755
Air duel,90,60,0,20.20930854875412,14.142135623730951
Air duel,95,53,0,57.22077247355919,5.830951894845301
Air duel,95,50,0,70.1052284711992,5.0
Air duel,94,43,0,30.819469175254298,9.219544457292887
Air duel,97,50,1,98.89918213626459,3.0
Air duel,90,38,0,17.106089620774245,15.620499351813308
Air duel,78,58,0,16.013932673513793,23.40939982143925
Air duel,94,54,0,45.840235165435864,7.211102550927978
Air duel,91,52,0,40.75834767123809,9.219544457292887
Air duel,93,56,0,33.40788844232164,9.219544457292887
Air duel,93,58,0,25.48310110789056,10.63014581273465
Air duel,90,35,0,12.831486057037408,18.027756377319946
Air duel,95,63,1,10.70896015122845,13.92838827718412
Air duel,96,47,0,67.20233251071159,5.0
Air duel,94,52,0,56.10099843509424,6.324555320336759
Air duel,89,59,0,21.867878497410018,14.212670403551895
Air duel,92,49,1,46.982350311495985,8.06225774829855
Air duel,88,41,0,21.85761001430911,15.0
Air duel,88,50,0,32.60395234374161,12.0
Air duel,89,36,0,14.411464820236901,17.804493814764857
Air duel,95,36,0,9.739130734258463,14.866068747318506
Air duel,92,64,0,12.56818251200889,16.1245154965971
Air duel,93,47,0,47.643638912806566,7.615773105863909
Air duel,94,46,0,47.5691901003365,7.211102550927978
Air duel,89,49,0,35.21576705745286,11.045361017187261
Air duel,95,39,0,15.065071996071188,12.083045973594572
Air duel,84,44,0,22.007114447714823,17.08800749063506
Air duel,91,56,0,30.677522830771416,10.816653826391969
Air duel,91,47,0,39.44175784673705,9.486832980505138
Air duel,92,55,0,35.68350825859138,9.433981132056603
Air duel,93,56,0,33.40788844232164,9.219544457292887
Air duel,90,56,0,29.220548058008916,11.661903789690601
Air duel,95,59,0,20.006505281879917,10.295630140987
Air duel,92,39,0,18.341304862102344,13.601470508735444
Air duel,95,55,0,41.83978175238584,7.0710678118654755
Air duel,94,48,0,57.2404698081054,6.324555320336759
Air duel,91,64,0,13.222115185114214,16.64331697709324
Air duel,91,65,0,11.96233189737592,17.4928556845359
Air duel,89,55,0,29.732575886843794,12.083045973594572
Air duel,90,46,0,34.40576191948602,10.770329614269007
Air duel,91,54,0,36.33395580580471,9.848857801796104
Air duel,89,67,0,10.852328210140126,20.248456731316587
Air duel,91,60,0,20.201709782496046,13.45362404707371
Air duel,89,40,0,20.57596909843882,14.866068747318506
Air duel,88,59,0,21.359573172294134,15.0
Air duel,93,50,1,53.24414551765339,7.0
Air duel,55,28,0,7.230049853002194,50.08991914547278
Air duel,91,38,0,16.812119007592923,15.0
Air duel,89,54,1,31.522131391793064,11.704699910719626
Air duel,91,55,1,33.569792617343246,10.295630140987
Air duel,91,32,0,9.26495812785358,20.12461179749811
Air duel,91,46,0,37.11205874380882,9.848857801796104
Air duel,89,62,0,16.766752208232266,16.278820596099706
Air duel,94,48,0,57.2404698081054,6.324555320336759
Air duel,92,50,0,47.36650042591959,8.0
Air duel,93,44,1,34.72449050123417,9.219544457292887
Air duel,91,51,0,42.067530337183044,9.055385138137417
Air duel,95,37,0,11.16718188773328,13.92838827718412
Air duel,93,52,1,49.95279133980381,7.280109889280518
Air duel,94,64,0,10.653839955986344,15.231546211727817
Air duel,91,50,0,42.602216251503926,9.0
Air duel,81,68,0,11.127790660859494,26.1725046566048
Air duel,93,59,0,22.20191346427668,11.40175425099138
Air duel,93,57,0,29.234247116512524,9.899494936611665
Air duel,95,46,0,51.91973291735015,6.4031242374328485
Air duel,91,57,0,27.805747789506185,11.40175425099138
Air duel,91,44,0,31.549086516036677,10.816653826391969
Air duel,93,56,0,33.40788844232164,9.219544457292887
Air duel,90,45,0,32.26345325146795,11.180339887498949
Air duel,89,60,0,20.039811288012626,14.866068747318506
Air duel,88,58,0,23.036877462571283,14.422205101855956
Air duel,89,37,0,15.74994899041208,17.029386365926403
Air duel,78,42,0,16.150582684368228,23.40939982143925
Air duel,89,54,0,31.522131391793064,11.704699910719626
Air duel,86,58,0,21.452794038040697,16.1245154965971
Air duel,96,45,0,45.90948570977637,6.4031242374328485
Air duel,94,59,1,21.41362221961509,10.816653826391969
Air duel,96,56,0,34.08178580241585,7.211102550927978
Air duel,83,65,0,13.26556584028207,22.67156809750927
Air duel,89,56,0,27.79328146820519,12.529964086141668
Air duel,89,65,0,12.861572420195603,18.601075237738275
Air duel,88,39,0,18.663291799805975,16.278820596099706
Air duel,92,33,0,9.499903472491928,18.788294228055936
