Player,Successful defensive actions per 90,Defensive duels per 90,Aerial duels per 90,"Aerial duels won, %",PAdj Interceptions,Head goals per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,Crosses from right flank per 90,Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received long passes per 90,Fouls suffered per 90,"Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %"
T. Almada,3.06,3.02,0.27,0,1.58,0,35.9,10.256,0.41,0.69,60,0.46,0.14,0.14,4.98,67.89,1.97,4.02,2.01,1.23,1.69,18.82,42.25,0.3,2.24,2.01,1.14,8.04,75.57,4.66,65.69,2.79,2.93,0.41,9.1,84.42
Talles Magno,3.32,2.94,2.73,25.49,1.95,0.05,63.64,9.091,0.05,0.75,42.86,0.64,0.11,0.05,4.55,54.12,3.05,2.25,0.37,1.71,2.25,15.17,14.23,0.14,0.91,0.7,0.54,2.3,76.74,1.55,72.41,0.7,1.02,0.27,2.57,79.17
S. Driussi,4.97,3.92,2.57,29.55,3.37,0,36.17,12.766,0.18,1.81,29.03,1.05,0.7,0.35,4.39,49.33,3.39,2.51,1.29,2.28,1.23,18.31,31.32,0.12,0.58,0.99,0.41,3.39,77.59,2.63,46.67,1.35,1.17,0.64,4.91,77.38
L. Insigne,4.27,2.85,0.4,40,3.3,0,36.36,6.818,0.16,0.63,12.5,0.47,0.16,0.16,6.97,52.27,3.09,5.3,1.58,2.22,0.95,16.84,33.3,0.26,1.98,0.63,0.79,5.46,75.36,3.25,60.98,1.19,2.3,0,6.97,73.86
H. Mukhtar,3.05,3.05,1.38,15.63,1.5,0,46.25,16.25,0.3,1.2,28.57,0.52,0.65,0,4.82,48.21,3.23,2.5,1.2,1.59,1.98,16.79,25.99,0.24,1.68,0.86,0.6,3.44,68.75,2.19,50.98,1.12,0.99,0.43,3.31,74.03
J. Hernández,3.47,3.76,3.41,31.03,2.31,0,35.44,6.329,0.35,2.59,38.64,0.59,1.88,0.29,6.47,47.27,5.35,2.65,1.06,2.12,1.18,17.68,35.79,0.18,1.47,1.12,0.94,2.76,63.83,3.41,56.9,0.88,1.53,0.94,4.17,83.1
F. Torres,2.97,2.8,2.31,21.43,1.8,0.05,37.84,18.919,0.11,2.53,56.52,1.26,1.21,0.33,3.52,50,3.24,3.02,1.54,2.03,1.92,16.52,31.33,0.24,1.98,0.55,0.93,3.57,86.15,3.08,60.71,0.66,1.21,1.21,4.07,81.08
Evander,4.21,4.5,0.47,50,2.46,0,41.67,10.417,0.18,1.36,34.78,0.65,0.59,0.24,4.33,50.68,1.9,2.55,0.65,1.3,1.36,17.32,40.95,0.19,2.01,1.42,0.47,5.92,79,3.61,55.74,1.54,1.6,0.47,6.87,81.9
J. Ferreira,3.25,3.14,1.23,21.74,1.76,0,42.86,23.81,0,1.39,26.92,0.32,1.01,0.27,2.34,50,3.14,1.39,0.85,1.71,0.27,18.29,30.32,0.09,1.28,0.53,0.27,3.78,57.75,2.88,48.15,1.33,1.07,0.43,3.62,73.53
F. Bernardeschi,2.5,2.74,0.39,25,1.57,0,33.33,5.556,0.05,2.1,32.56,0.49,1.52,0.29,7.39,44.37,3.08,3.33,1.22,1.71,1.47,17.05,29.36,0.15,1.47,0.93,0.64,2.25,71.74,3.62,52.7,1.17,1.71,0.59,4.11,78.57
