Player,Successful defensive actions per 90,Defensive duels per 90,Aerial duels per 90,"Aerial duels won, %",PAdj Interceptions,Head goals per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,Crosses from right flank per 90,Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received long passes per 90,Fouls suffered per 90,"Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %"
Riqui Puig,3.14,2.46,0.36,0,2.19,0,38.18,5.455,0.14,0.64,35.71,0.36,0.23,0.14,4.73,63.46,1.23,4.28,2.28,1.18,2,18.02,39.5,0.08,1.27,1.37,0.5,12.29,78.15,3.28,65.28,1.96,1.96,0.18,9.51,89
B. Vázquez,3.63,3.11,7.03,42.62,2.29,0,38.89,11.111,0.06,0.35,66.67,0,0.29,0,2.13,48.65,3.51,0.75,0.29,1.79,1.84,16.01,30.91,0.03,0.29,0.23,0.29,1.5,50,0.63,81.82,0.23,0.86,0.17,1.96,47.06
L. Zelarayán,4.58,4.78,0.97,26.32,2.75,0,33.9,13.559,0.31,2.85,41.07,1.53,1.32,0.46,7.32,52.78,2.59,2.85,0.66,1.22,1.47,18.46,38.19,0.19,2.03,1.58,1.12,6.86,72.59,4.83,55.79,1.93,1.73,1.17,7.27,90.21
S. Biuk,4.95,4.8,2.26,43.75,2.77,0,44,12,0.07,2.19,22.58,0.85,1.34,0.71,4.95,60,4.59,2.9,0.85,1.41,0.85,15.25,13.61,0.14,1.06,0.49,0.49,0.92,76.92,1.77,48,0.49,0.78,0.49,2.33,51.52
M. Ojeda,5.89,4.04,1.13,23.53,4.19,0,38.18,7.273,0.33,1.65,40,0.99,0.66,0.6,1.26,63.16,3.04,1.13,0.73,2.71,0.4,17.36,29,0.18,1.65,0.66,0.79,4.04,67.21,2.32,65.71,0.86,1.13,0.66,5.03,72.37
R. Gauld,5.86,5.23,2.43,41.3,3.2,0,34.29,14.286,0.32,3.17,35,1.85,1.21,0.69,1.69,46.88,2.8,2.01,1.74,1.16,0.85,18.65,36.6,0.23,2.06,0.95,1,3.91,67.57,5.33,63.37,1.43,2.32,1.11,6.44,84.43
Luiz Araújo,4.25,3.93,0.79,25,3.04,0,33.33,7.692,0.07,1.37,28.57,0.46,0.92,0.07,6.09,56.99,2.29,4.06,2.49,1.96,2.36,19.84,30.47,0.1,0.92,0.59,0.26,2.88,70.45,3.53,48.15,1.24,1.77,0.39,5.04,80.52
E. Copetti,2.9,2.83,7.08,43.48,2.35,0.12,50,25,0.06,0.74,25,0.25,0.49,0.06,2.22,36.11,2.65,0.8,0.18,2.77,0.99,14.09,19.41,0.04,0.68,0.06,0.37,1.29,47.62,1.11,38.89,0.18,0.99,0.12,1.66,55.56
D. Gazdag,3.67,4.05,0.89,42.11,1.73,0,47.37,23.684,0.14,0.71,26.67,0.09,0.57,0.05,1.27,59.26,2.26,0.52,0.33,0.61,1.41,16.12,32.48,0.13,1.27,1.74,0.38,6.03,58.59,2.78,45.76,3.11,1.74,0.19,4.52,82.29
D. Bouanga,4.24,4.55,2.35,28.26,2.61,0,41.98,14.815,0.1,2.86,17.86,2.4,0.41,0.77,8.79,47.67,6.44,3.73,1.17,1.94,1.07,17.52,27.98,0.2,1.07,0.61,0.72,1.74,61.76,2.86,44.64,0.82,1.58,0.56,2.45,81.25
C. Roldán,9.23,5.15,5.75,56.25,7.08,0.12,83.33,33.333,0,2.4,15,0,2.4,0.12,2.28,47.37,2.76,2.28,0.6,2.28,1.32,17.8,38.1,0.13,0.96,0.48,0.48,4.79,62.5,2.64,18.18,0.84,0.84,0.36,5.63,78.72
Carles Gil,2.88,3.15,0.11,0,1.83,0,42.11,18.421,0.21,2.08,35.9,0.69,1.39,0.32,6.19,64.66,2.51,3.42,1.28,1.17,2.14,19.62,37.59,0.27,2.4,2.14,0.75,9.61,75,5.44,60.78,3.42,2.78,0.75,9.88,87.03
J. Morris,2.34,2.14,4.29,43.75,1.86,0.27,48,36,0,1.94,34.48,0.94,1,0.13,1.81,59.26,3.82,1.54,0.6,2.48,0.74,14.97,21.51,0.1,0.87,0.2,0.4,1.14,76.47,1.54,39.13,0.33,0.67,0.47,1.94,58.62
C. Cowell,2.73,2.47,1.45,35.29,1.79,0,25,0,0.17,2.9,20.59,2.47,0.43,0.51,5.37,39.68,3.07,2.22,0.94,1.54,0.77,15.73,25.44,0.06,0.26,0.51,0.17,0.77,55.56,2.3,29.63,0.6,0.6,0.51,1.96,47.83
J. Carranza,5.59,5.36,4.99,36.11,3.82,0,47.37,17.544,0.05,1.06,26.09,0.23,0.79,0.23,2.22,41.67,4.3,1.06,0.55,1.62,2.17,15.08,13.15,0.1,0.74,0.46,0.28,1.57,67.65,1.2,42.31,0.51,0.88,0.23,2.17,63.83
Gabriel Pereira,3.07,2.91,1.56,17.24,1.97,0,42.55,12.766,0.11,1.35,36,0.05,1.29,0.22,4.91,57.14,3.02,2.32,0.75,1.13,1.67,17.66,37.01,0.16,1.19,0.75,0.49,2.1,76.92,2.86,52.83,1.24,1.35,0.59,4.42,78.05
S. Rodríguez,3.93,4.44,1.29,14.29,2.2,0,39.29,14.286,0.09,0.97,28.57,0.51,0.42,0.23,3.84,49.4,1.29,2.4,0.97,0.65,2.31,16.93,23.59,0.18,1.62,0.92,0.51,4.49,83.51,2.59,57.14,0.97,1.48,0.37,6.2,74.63
D. Sallói,3.82,3.02,1.59,27.5,2.97,0,46.15,9.615,0.08,2.9,35.62,2.31,0.6,0.24,4.61,56.9,3.78,2.86,0.68,1.59,1.15,16.98,33.34,0.17,1.15,0.28,0.52,1.99,74,2.98,54.67,0.32,1.19,0.95,4.45,79.46
T. Fountas,4.34,4.26,2.49,19.35,3.11,0,40.82,12.245,0,0.88,9.09,0.56,0.16,0.32,2.49,64.52,3.46,1.85,1.21,1.29,1.37,13.99,13.73,0.07,0.56,0.64,0.32,2.73,61.76,2.09,61.54,0.72,1.53,0.16,2.01,84
K. Świderski,3.1,2.21,2.68,31.37,2.51,0,33.33,14.583,0.16,1.16,22.73,0.32,0.74,0.11,2.21,35.71,2.57,1.21,0.26,1.58,1.26,16.41,30.7,0.1,0.79,0.68,0.42,2.21,57.14,2.26,32.56,0.63,0.68,0.32,2.21,59.52
G. Giakoumakis,4.63,4.72,4.72,46.3,3.53,0.26,48.48,30.303,0,0.26,33.33,0.09,0.09,0,1.92,31.82,4.02,0.7,0.35,1.22,2.18,17,8.11,0.13,0.87,0.26,0.61,1.4,62.5,0.52,50,0.26,1.05,0.09,0.87,60
L. Acosta,4.63,4.93,0.64,15.38,2.88,0,48.15,20.37,0.2,1.53,29.03,0.99,0.44,0,7.84,41.51,2.71,3.84,0.74,1.53,2.27,16.46,36.97,0.22,1.97,2.86,0.99,5.72,68.1,4.63,61.7,3.11,2.51,0.54,7.44,80.79
João Klauss,4.13,4.01,8.03,45.83,2.81,0,50,20.833,0.11,1,11.11,0.56,0.45,0,1.67,66.67,4.8,0.67,0.33,3.01,1.67,14.33,26.9,0.07,0.56,0.45,0.33,2.12,52.63,1.45,46.15,0.78,0.67,0.11,1.67,53.33
J. Ebobisse,2.42,1.65,2.37,35.59,1.66,0.12,35.14,18.919,0,0.36,44.44,0.24,0.12,0.04,2.58,57.81,2.9,0.72,0.16,1.01,1.85,16.1,31.47,0.05,0.64,0.16,0.2,2.82,70,1.25,67.74,0.32,0.93,0.12,2.09,75
M. Uhre,3.96,3.77,5.13,27.71,2.1,0,38.24,20.588,0.12,1.18,10.53,0.74,0.43,0.25,2.16,48.57,3.84,1.24,0.43,2.35,1.61,15,11.36,0.08,0.62,0.19,0.37,0.8,46.15,1.42,34.78,0.19,0.68,0.12,1.11,61.11
J. Martínez,1.76,1.04,2.41,27.03,1.17,0,43.75,18.75,0.07,0.13,50,0.07,0.07,0.07,0.65,30,2.87,0.39,0.13,1.04,1.11,14.02,7.31,0.01,0.39,0.2,0.26,1.63,72,0.33,40,0.2,0.39,0.07,0.91,85.71
C. Wiley,6.67,6.37,2.2,41.67,4.79,0,44.44,33.333,0.12,2.2,22.22,2.14,0.06,0.37,1.9,32.26,2.45,1.78,0.92,2.82,0.31,16.34,28.85,0.1,0.8,0.37,0.49,1.96,53.13,2.27,43.24,0.31,0.92,0.43,4.29,62.86
X. Shaqiri,2.34,2.07,0.93,28.57,1.38,0,26.67,20,0.27,2.07,22.58,1.27,0.8,0.07,2.14,34.38,1.07,1.34,0.47,1.74,1.6,17.56,33.09,0.28,1.34,1.47,0.8,6.48,61.86,5.14,42.86,3.34,1.87,0.47,6.81,70.59
D. Joveljić,2.27,2.44,3.66,33.33,1.34,0,42.31,7.692,0.08,0.32,50,0.16,0.16,0.08,1.38,47.06,4.55,0.81,0.08,1.79,1.06,14.96,4.78,0.12,1.14,0.57,0.49,1.14,78.57,1.06,61.54,0.49,1.38,0.16,1.14,64.29
P. Arriola,5.18,4.41,2.69,32.14,3.24,0,38.46,0,0.19,2.59,29.63,0.77,1.82,0.19,1.92,50,2.49,2.11,1.06,1.63,0.86,17.16,30.56,0.12,0.86,1.82,0.38,3.74,61.54,3.07,37.5,1.73,1.06,0.67,5.09,66.04
R. Ruidíaz,3.21,2.71,1.85,20,1.67,0,50,12.5,0,0.62,0,0.25,0.37,0,1.85,33.33,4.56,0.49,0.12,0.99,0.99,16.31,14.82,0.07,0.25,0.37,0,2.34,84.21,0.49,25,0.37,0.12,0,1.36,63.64
R. Lod,6.44,6.25,2.61,39.29,3.54,0,21.43,0,0.09,1.03,45.45,0.75,0.28,0.19,2.98,53.13,1.68,1.68,0.75,1.4,0.84,16.45,26.07,0.09,1.03,1.12,0.84,6.99,70.67,2.89,51.61,1.31,1.68,0.56,7.18,79.22
R. Pizarro,5,5.63,1.16,23.08,2.46,0,28.57,0,0.09,1.88,33.33,0.71,1.16,0.27,2.77,61.29,2.05,2.59,0.71,1.34,1.7,16.57,37.15,0.19,1.88,0.8,1.16,4.29,77.08,2.95,51.52,0.71,1.16,0.71,6.34,78.87
E. Rigoni,4.22,4.28,2.51,41.46,3.3,0,51.85,7.407,0.12,3.24,32.08,1.71,1.47,0.73,3.3,51.85,2.81,1.83,0.61,2.75,0.49,19.84,33.65,0.24,1.59,0.31,0.55,1.89,61.29,2.63,34.88,0.37,0.61,0.73,3.18,71.15
C. Espinoza,5.97,5.78,1.19,10,3.26,0,57.5,27.5,0.2,5.89,35.57,0.47,5.34,0.95,4.91,50.81,3.16,2.57,0.71,2.93,0.63,18.99,35.67,0.42,2.29,0.4,1.03,1.78,64.44,4.15,46.67,0.59,1.15,1.86,4.83,66.39
M. Pellegrini,7.17,7.99,2.54,39.29,3.11,0,17.65,5.882,0.09,1.27,21.43,0.73,0.54,0.18,3,54.55,1.73,1.54,0.73,1.54,1.73,16.22,17.93,0.1,0.73,0.36,0.18,2.18,87.5,1.82,40,0.36,0.64,0.18,2.45,66.67
E. Kara,3.08,3.27,6.75,32.35,1.58,0.2,45.45,22.727,0.1,0.2,0,0.1,0.1,0,1.19,33.33,3.77,0.3,0,2.68,1.19,12.29,2.11,0.04,0.4,0.1,0.2,0.69,57.14,0.2,50,0.1,0.4,0,0.6,33.33
J. Osorio,6.2,4.62,0.55,50,3.78,0,50,25,0.28,0.18,50,0.09,0,0.18,2.5,51.85,1.2,1.02,0.18,0.65,1.94,14.41,17.23,0.08,0.92,1.76,0.65,6.2,77.61,1.39,73.33,1.57,1.02,0.09,5.36,84.48
K. Cabral,4.81,5.09,2.54,22.22,2.57,0,66.67,16.667,0,0.66,14.29,0.28,0.38,0.09,1.98,52.38,2.83,0.85,0.66,1.51,1.23,15.82,13.73,0.03,0.28,0.38,0,1.13,75,0.75,50,0.38,0.28,0.09,1.51,50
Luquinhas,5.36,4.81,1.42,27.78,2.82,0,23.81,4.762,0,0.55,28.57,0.16,0.39,0.08,4.81,54.1,2.21,2.13,0.95,0.55,2.76,13.98,16.33,0.05,0.87,0.47,0.16,2.76,65.71,1.42,44.44,0.63,0.87,0.08,2.52,78.13
S. Moreno,7.62,7.13,3.1,28.07,4.29,0,41.67,0,0.16,1.74,43.75,0.82,0.93,0.16,4.19,53.25,2.72,1.52,0.44,1.42,0.82,16.04,34.25,0.11,0.87,0.71,0.65,3.38,66.13,2.94,59.26,0.98,1.42,0.76,6.21,70.18
L. Campana,4.68,3.38,6.24,44.44,2.46,0.17,39.29,14.286,0.09,0.52,33.33,0.26,0.26,0,0.95,27.27,3.12,0.61,0,1.99,1.13,15.67,16.13,0.09,0.69,0.35,0.35,2.43,57.14,0.78,55.56,0.43,0.52,0.17,1.82,66.67
A. Pulido,1.92,1.64,3.38,21.67,0.92,0.11,55.56,27.778,0.06,0.68,33.33,0.39,0.28,0.06,2.65,34.04,3.83,1.07,0.45,0.96,1.07,14.55,22.5,0.08,0.85,0.39,0.39,1.97,77.14,1.02,83.33,0.51,1.18,0.23,2.37,71.43
G. Bou,4.63,2.96,1.57,17.65,3.35,0,34.21,10.526,0.19,3.43,29.73,1.85,1.48,0.46,5.19,58.93,4.26,1.67,0.83,1.57,0.83,17.38,33.47,0.09,0.93,0.74,0.46,1.57,52.94,3.61,46.15,0.83,0.83,1.2,3.33,72.22
C. Benteke,2.58,2.53,12.23,56.84,1.9,0.09,38.6,14.035,0.04,0.26,50,0.13,0.13,0.04,1.5,57.14,3.73,0.43,0.09,3.43,1.2,15.74,29.06,0.06,0.82,0.3,0.3,1.59,72.97,1.24,65.52,0.3,0.82,0.09,1.72,57.5
P. Vite,7.77,6.02,1.2,30,5.11,0,38.1,19.048,0,2.17,44.44,1.26,0.72,0.3,1.69,46.43,2.41,1.2,0.6,0.84,0.96,18.21,34.48,0.1,1.2,0.48,0.48,6.02,80,3.25,59.26,1.08,1.63,1.02,8.19,78.68
C. Mueller,5.07,4.15,3.46,36.67,2.89,0,23.08,15.385,0,1.84,25,1.84,0,0.23,5.19,31.11,3.69,2.77,1.04,2.54,0.92,16.1,21.07,0.07,0.58,0.35,0.23,1.27,90.91,1.84,56.25,0.58,0.81,0.46,3.57,70.97
A. Carrasquilla,4.57,3.96,1.65,33.33,3.65,0,23.81,4.762,0.06,1.59,57.69,0.24,1.34,0.06,4.02,53.03,1.77,2.5,1.04,1.28,1.52,18.16,36.29,0.1,1.1,1.83,0.55,6.89,62.83,4.45,56.16,3.05,1.77,0.85,6.16,84.16
G. Vrioni,3.18,3.61,6.68,37.7,1.49,0,56,20,0,0.33,33.33,0,0.33,0,2.3,61.9,4.05,1.53,0.88,0.99,1.42,15.58,6.1,0,0.22,0,0,0.66,66.67,0.44,50,0,0.33,0.11,0.66,66.67
B. Kikanović,5.63,3.53,5.85,58.49,3.67,0.11,15.38,7.692,0,0.99,44.44,0.99,0,0,2.21,45,2.65,1.65,0.88,1.65,1.88,13.12,6.39,0.02,0.55,0.22,0.22,1.43,92.31,0.88,62.5,0.11,0.22,0.22,2.87,76.92
C. Vela,2.52,2.7,1.01,31.25,1.91,0,44.12,20.588,0.19,1.76,57.14,0.57,1.13,0.13,2.58,43.9,2.58,1.45,0.38,2.01,1.01,19.18,35.42,0.25,2.08,1.19,0.75,4.97,63.29,4.28,63.24,1.95,2.26,0.82,6.86,89.91
K. Opoku,5.12,4.79,2.16,18.75,2.8,0,46.43,7.143,0.07,0.74,9.09,0.13,0.54,0,4.92,49.32,3.03,2.49,0.2,1.96,2.02,15.54,12.77,0.09,0.81,0.54,0.2,1.69,64,1.62,50,0.54,1.01,0.07,2.29,73.53
K. Jóźwiak,7.39,8.99,3.2,50,3.7,0.1,37.5,25,0.3,2.6,38.46,0.6,2,0.5,3.8,55.26,3.3,2.7,0.8,2,1.3,15.52,11.35,0.2,1.2,0.1,0.9,1.8,61.11,2.1,47.62,0.1,0.7,1.2,4.3,62.79
Léo Chú,4.48,5.46,1.53,28,2.45,0,50,13.636,0.43,5.09,30.12,5.03,0.06,0.61,5.46,57.3,3.43,3.07,1.23,2.64,0.98,17.22,13.91,0.23,1.29,0.74,1.1,1.35,63.64,4.97,45.68,0.74,1.72,1.29,4.41,79.17
F. Fragapane,5.46,5.06,1.53,47.37,2.66,0,53.85,0,0.08,1.93,37.5,1.69,0.16,0.16,3.53,47.73,3.29,1.61,1.36,0.72,1.61,16.01,24.74,0.18,1.45,0.64,0.4,4.01,72,2.41,70,0.56,2.01,0.8,6.02,74.67
Sang-Bin Jeong,2.51,1.83,2.4,28.57,1.23,0,40,6.667,0.11,1.48,30.77,0.34,1.14,0.11,3.08,59.26,2.28,1.71,0.57,1.25,0.57,19.62,34.78,0.13,1.25,1.03,0.46,2.4,33.33,1.83,37.5,1.03,0.34,0.46,2.05,72.22
J. Russell,5.12,3.41,3.64,40.43,3.85,0,50,15,0.16,2.33,30,0.31,2.02,0.47,5.89,52.63,3.72,3.33,0.93,1.78,2.25,17.63,30.19,0.1,1.24,0.39,0.47,3.1,62.5,2.4,45.16,0.7,1.09,0.54,5.19,68.66
M. Urruti,3.41,4.51,0.7,14.29,1.66,0,15.79,5.263,0,0.4,50,0.1,0.2,0.2,1.1,45.45,3.01,0.5,0.3,1.2,1.8,16.1,14.97,0.02,0.4,0.3,0.1,0.9,66.67,0.5,80,0.1,0.5,0.1,1.1,63.64
G. Zardes,3.1,2.52,7.5,43.27,2.24,0.29,42.86,23.81,0.07,0.29,50,0.22,0.07,0.07,1.66,52.17,3.17,0.29,0.29,1.44,1.37,14.69,2.59,0.1,0.36,0,0.29,1.15,68.75,0.72,40,0,0.43,0.07,1.01,85.71
B. Gutiérrez,5.48,5.27,1.76,21.88,2.87,0,31.58,5.263,0.33,1.04,36.84,0.6,0.33,0.27,3.62,48.48,2.19,1.76,0.99,1.1,1.86,16.29,36.14,0.16,0.77,0.38,0.6,4.88,70.79,2.19,65,0.77,1.32,0.49,4.83,68.18
K. Przybyłko,2.65,1.57,8.84,42.22,2.61,0,50,25,0.1,0.59,50,0.1,0.39,0,0.29,66.67,1.77,0.39,0.79,2.75,1.38,12.9,1.48,0.04,0.29,0.1,0.39,2.26,47.83,0.79,62.5,0.1,0.59,0.29,2.26,47.83
C. Bassett,6.19,7.7,1.76,28.57,2.8,0,30.43,8.696,0,1.42,29.41,0.84,0.59,0.25,2.26,66.67,2.09,1.92,0.5,1.76,0.75,17.65,31.3,0.05,0.67,0.67,0.33,3.6,67.44,2.09,32,0.84,0.59,0.25,3.76,71.11
B. White,2.34,2.11,6.57,42.61,1.64,0.11,32.14,12.5,0.17,0.46,25,0.17,0.23,0.06,1.37,62.5,5.2,0.74,0.06,2.34,0.69,14.2,5.12,0.09,0.8,0.17,0.4,0.86,80,0.46,50,0.17,0.74,0.11,0.86,60
Héber,1.95,2.28,3.38,12.5,1.6,0,44.44,7.407,0.08,0.25,0,0.25,0,0.08,0.51,50,4.57,0.17,0.17,0.76,0.51,13.72,17.09,0.06,0.93,0.68,0.25,1.86,77.27,1.1,53.85,0.42,1.1,0,1.78,57.14
B. Duke,4.97,4.51,1.68,27.59,3.55,0,37.5,12.5,0.06,0.87,33.33,0.29,0.52,0.06,3.47,38.33,0.69,1.21,0.52,1.04,1.91,15.99,29.24,0.08,1.1,1.21,0.17,5.95,59.22,1.97,38.24,1.5,0.4,0.23,4.86,75
M. Pereyra,5.05,5.57,1.81,28.57,2.64,0,30,0,0.13,0.65,50,0.39,0.19,0,2.27,57.14,1.49,1.42,0.39,0.71,1.55,17.52,32.28,0.15,1.62,1.75,0.65,10.29,77.36,3.95,59.02,2.53,2.46,0.39,9.91,87.58
N. Lodeiro,5.55,5.55,1.55,38.89,2.97,0,25,3.125,0.09,3.31,36.36,2.97,0.3,0.69,1.76,41.46,2.32,1.08,0.17,1.72,2.11,16.61,29.57,0.26,1.59,1.33,0.34,8.13,75.66,4.82,53.57,1.59,1.59,1.2,9.64,82.14
L. Amarilla,3.23,3.35,6.91,35.48,1.56,0,38.1,9.524,0,0.22,50,0,0.22,0,2.79,64,3.9,0.89,0.56,2.12,1.78,13.21,15.49,0.06,0.33,0.78,0.22,2.9,76.92,0.67,66.67,0.78,1,0.11,2.79,56
B. Hlongwane,7.41,4.55,4.69,42,5.13,0,48,12,0.05,1.55,27.27,0.42,1.13,0.14,4.69,48,4.64,1.92,1.13,1.41,1.92,16.01,26.12,0.17,1.03,0.52,0.61,1.45,45.16,2.11,57.78,0.33,1.74,0.28,2.91,64.52
M. García,3.6,3.8,6.82,20,2.07,0.1,29.41,11.765,0.1,0.58,50,0.19,0.39,0,1.85,36.84,4.29,0.78,0.19,2.44,0.49,13.37,4.51,0.14,0.88,0.1,0.78,0.88,44.44,1.07,45.45,0,0.97,0.29,1.27,61.54
R. Alm,5.42,6.01,3.94,42.5,3.46,0,63.64,18.182,0.2,2.56,23.08,0,2.46,0.3,1.77,50,2.86,0.79,0.1,2.17,0.99,15.96,25.87,0.24,1.28,1.08,0.59,2.46,40,2.66,48.15,0.69,1.18,0.59,3.84,66.67
T. Ostrák,5.25,6.71,2.41,28.57,2.32,0,28,8,0.26,0.6,0,0.09,0.52,0.09,4.39,41.18,2.15,1.63,1.12,0.95,0.69,19.29,22.28,0.1,0.69,0.26,0.34,2.93,79.41,1.63,52.63,0.26,0.95,0,2.75,75
M. Tzionis,6.82,6.45,2.07,35.29,3.79,0,25,0,0,0.97,12.5,0,0.97,0,4.38,44.44,1.46,2.07,0.61,2.44,2.31,14.39,11.98,0,0,0.12,0.12,1.83,60,1.95,56.25,0.37,1.22,0,3.41,71.43
D. Etienne,5.12,5.29,0.87,40,3.8,0,22.22,0,0.09,2.78,15.63,2.34,0.43,0.69,4.25,38.78,3.56,2.86,0.78,1.65,1.39,17.44,15.35,0.11,1.22,0.26,0.35,1.39,68.75,3.04,51.43,0.26,1.48,0.52,2.95,73.53
M. Barrios,4.08,3.68,2.69,18.52,2.88,0,41.18,11.765,0.2,2.69,22.22,0.6,2.09,0.3,5.67,49.12,3.28,2.19,0.8,2.98,1.09,17.31,11.4,0.17,0.8,0.3,0.6,0.8,62.5,2.29,39.13,0.3,0.99,0.6,2.09,61.9
C. Baird,4.5,4.13,2.06,23.08,2.23,0,31.58,15.789,0.11,1.01,42.11,0.32,0.69,0.21,2.17,53.66,2.54,1.01,0.53,1.59,1.11,14.89,15.46,0.06,0.63,0.26,0.16,1.38,61.54,1.96,48.65,0.48,1.11,0.42,2.54,68.75
A. Bassi,3.65,2.89,0.83,21.43,2.4,0,41.38,27.586,0,1.47,60,1,0.35,0.06,1.71,51.72,1.3,1.59,0.88,1.47,1.53,15.92,29.3,0.14,1.41,1,0.71,4.48,82.89,2.89,67.35,1.24,1.83,0.88,5.66,80.21
J. Lewis,3.15,3.15,1.87,27.27,1.57,0,45,5,0,1.62,10.53,1.45,0.17,0.09,4,57.45,3.41,2.55,0.51,2.38,1.19,16.74,6.74,0.03,0.51,0.09,0.09,0.68,62.5,0.94,45.45,0.17,0.43,0.26,1.7,65
Elias Manoel,4.17,3.37,4.26,27.08,3.16,0.09,34.62,7.692,0.09,0.89,30,0.36,0.53,0,2.22,48,4.26,0.71,0.18,0.98,0.36,14.36,12.02,0.11,0.71,0.18,0.36,1.07,58.33,0.8,33.33,0.09,0.62,0.27,1.69,68.42
O. Fernandez,5.18,3.87,1.62,9.52,3.58,0.08,47.37,15.789,0.15,0.62,37.5,0.46,0.15,0.08,3.87,54,2.71,2.09,0.54,0.46,2.01,14.46,17.68,0.11,1.55,0.23,0.62,2.09,62.96,1.24,68.75,0.31,1.24,0.23,2.24,58.62
D. Asprilla,6.73,6.63,9.2,35.48,3.8,0,29.41,11.765,0.1,2.57,30.77,1.29,1.19,0.3,3.07,54.84,3.26,1.58,0.49,2.87,1.29,17.74,23.26,0.06,0.59,0.4,0.3,2.08,66.67,2.47,48,0.4,0.69,0.79,3.16,71.88
